place_name,Accessibility ramp__mentions,Accessibility ramp__score,Accommodation__mentions,Accommodation__score,Bike rental__mentions,Bike rental__score,Boardwalk__mentions,Boardwalk__score,Boat rental__mentions,Boat rental__score,Boat service__mentions,Boat service__score,Bridge__mentions,Bridge__score,Brochure__mentions,Brochure__score,Cafe__mentions,Cafe__score,Camping facility__mentions,Camping facility__score,Changing room__mentions,Changing room__score,Clothing cover service__mentions,Clothing cover service__score,Diving equipment rental__mentions,Diving equipment rental__score,Donation box__mentions,Donation box__score,Drinking water__mentions,Drinking water__score,Entrance fee__mentions,Entrance fee__score,First aid__mentions,First aid__score,Food stall__mentions,Food stall__score,General facilities__mentions,General facilities__score,Guide service__mentions,Guide service__score,Handrail__mentions,Handrail__score,Information board__mentions,Information board__score,Jeep service__mentions,Jeep service__score,Life jacket__mentions,Life jacket__score,Lifeguard service__mentions,Lifeguard service__score,Lighting__mentions,Lighting__score,Locker__mentions,Locker__score,Market stalls__mentions,Market stalls__score,Multilingual information__mentions,Multilingual information__score,Parking__mentions,Parking__score,Pathway__mentions,Pathway__score,Public transport access__mentions,Public transport access__score,Rest area__mentions,Rest area__score,Restaurant__mentions,Restaurant__score,Road access__mentions,Road access__score,Safety barrier__mentions,Safety barrier__score,Scooter rental__mentions,Scooter rental__score,Seating__mentions,Seating__score,Security__mentions,Security__score,Shade or shelter__mentions,Shade or shelter__score,Shoe storage__mentions,Shoe storage__score,Shop__mentions,Shop__score,Shower__mentions,Shower__score,Signage__mentions,Signage__score,Snorkelling equipment rental__mentions,Snorkelling equipment rental__score,Souvenir shop__mentions,Souvenir shop__score,Steps or stairs__mentions,Steps or stairs__score,Surfboard rental__mentions,Surfboard rental__score,Taxi service__mentions,Taxi service__score,Ticket counter__mentions,Ticket counter__score,Ticket or receipt__mentions,Ticket or receipt__score,Toilet__mentions,Toilet__score,Towel service__mentions,Towel service__score,Train service__mentions,Train service__score,Tuk tuk service__mentions,Tuk tuk service__score,View platform__mentions,View platform__score,Visitor centre__mentions,Visitor centre__score,Waste bins__mentions,Waste bins__score
Goyambokka Beach,0,,59,0.271,0,,0,,0,,0,,0,,0,,21,0.333,0,,0,,0,,0,,0,,1,1.0,22,-0.045,0,,7,0.286,3,0.0,2,0.5,0,,0,,0,,1,0.0,1,1.0,0,,0,,0,,0,,0,,1,0.0,0,,0,,135,0.281,1,1.0,2,-0.5,0,,3,1.0,1,1.0,15,0.333,0,,2,-0.5,1,-1.0,1,-1.0,0,,0,,1,1.0,0,,16,0.375,0,,0,,11,-0.727,0,,0,,16,0.25,0,,0,,0,
Gregory Lake,1,0.0,15,0.267,1,-1.0,1,1.0,4,0.0,181,0.215,4,0.25,0,,11,0.182,0,,1,-1.0,0,,0,,0,,0,,117,0.12,0,,34,0.235,9,0.333,1,0.0,0,,1,0.0,0,,5,0.4,1,1.0,0,,0,,0,,1,0.0,26,0.038,23,0.435,1,1.0,1,0.0,32,0.344,0,,3,0.0,0,,7,0.429,5,0.4,5,0.6,0,,16,0.25,0,,2,-0.5,0,,0,,1,0.0,0,,2,1.0,2,-1.0,38,-0.053,7,0.286,0,,1,0.0,1,-1.0,0,,0,,0,
Hakgala Botanic Gardens,1,0.0,5,0.6,0,,0,,0,,0,,5,0.0,17,0.118,9,0.111,0,,0,,1,0.0,0,,0,,0,,102,-0.02,0,,7,0.286,8,0.0,5,0.8,0,,0,,0,,0,,0,,0,,0,,0,,0,,15,-0.067,16,0.312,2,1.0,0,,2,0.0,0,,0,,0,,3,0.333,2,0.5,4,0.75,0,,7,-0.143,0,,12,0.25,0,,0,,4,-0.25,0,,6,0.167,4,-0.75,47,0.0,12,-0.167,0,,0,,4,-0.25,0,,0,,3,-0.333
Handunugoda Tea Estate,1,-1.0,21,0.333,0,,0,,0,,0,,0,,4,0.25,12,0.25,0,,0,,0,,0,,26,-0.038,0,,32,0.062,0,,2,-1.0,7,0.143,136,0.441,0,,0,,0,,0,,0,,0,,0,,0,,2,0.5,1,0.0,0,,0,,0,,1,-1.0,2,0.0,2,0.5,0,,1,1.0,0,,2,0.5,0,,97,0.041,0,,3,0.0,0,,21,0.095,1,1.0,0,,4,-0.25,0,,4,0.0,4,0.75,0,,1,1.0,54,0.352,0,,0,,0,
Henerathgoda Botanical Garden,0,,0,,0,,0,,0,,5,0.4,0,,1,0.0,1,-1.0,0,,0,,0,,0,,0,,0,,3,0.0,0,,1,1.0,1,1.0,1,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,6,0.333,0,,0,,0,,1,0.0,0,,0,,0,,0,,5,-0.2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,0.0,0,,0,,1,0.0,0,,0,,0,,0,
Hikkaduwa Beach,1,0.0,138,0.159,0,,0,,0,,20,0.05,1,0.0,2,0.0,20,0.25,0,,1,1.0,1,1.0,0,,1,0.0,0,,17,0.235,0,,3,0.0,2,0.0,3,0.333,0,,0,,0,,3,0.333,14,-0.071,0,,0,,0,,1,0.0,2,0.5,1,0.0,5,0.4,0,,173,0.382,3,0.0,2,0.5,0,,0,,20,-0.2,16,0.375,0,,27,0.333,7,-0.571,11,0.0,7,0.571,4,0.0,4,0.0,0,,3,0.333,0,,2,-0.5,4,-0.25,4,-0.25,4,0.75,14,0.214,0,,0,,1,-1.0
Hiriketiya Beach,1,0.0,25,0.2,0,,0,,0,,0,,0,,2,-0.5,9,0.222,0,,0,,0,,0,,0,,0,,6,0.333,0,,0,,2,0.5,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,2,-0.5,0,,0,,0,,48,0.354,2,0.0,0,,0,,3,0.333,2,0.0,11,0.364,0,,5,-0.2,0,,0,,0,,0,,0,,4,0.0,0,,0,,0,,0,,6,-0.167,0,,3,0.0,0,,0,,0,
Horton Plains National Park,0,,44,0.273,0,,0,,0,,0,,0,,5,0.0,13,-0.385,3,0.667,0,,0,,0,,0,,6,0.333,134,-0.022,0,,22,0.273,4,0.5,19,0.579,0,,0,,0,,0,,0,,0,,0,,0,,0,,19,0.053,8,-0.5,4,0.25,1,0.0,1,0.0,15,0.0,5,-0.2,0,,2,1.0,5,-0.4,6,0.0,0,,3,0.0,2,0.0,14,-0.071,0,,0,,36,0.222,0,,9,-0.111,13,-0.154,99,-0.03,52,0.077,0,,2,0.5,26,0.077,5,0.4,7,0.429,1,0.0
Hummanaya Blow Hole,1,-1.0,26,0.077,0,,0,,0,,1,0.0,0,,1,1.0,0,,0,,0,,0,,0,,0,,4,-0.25,56,0.054,0,,9,0.222,0,,1,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,20,0.15,3,0.333,1,0.0,0,,2,0.5,0,,10,0.5,0,,0,,1,0.0,2,-0.5,0,,9,0.111,0,,5,0.8,0,,0,,26,0.115,0,,1,0.0,6,-0.5,25,-0.12,5,-0.8,0,,0,,12,-0.167,3,0.333,5,0.0,1,-1.0
Hurulu Eco Park,2,0.0,56,0.161,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,0,,1,0.0,52,0.115,0,,1,0.0,0,,24,0.417,0,,0,,25,0.2,0,,0,,0,,0,,0,,0,,8,-0.125,1,1.0,0,,1,0.0,1,1.0,3,-0.333,1,-1.0,0,,2,0.5,0,,2,0.0,0,,2,-0.5,1,0.0,2,0.0,0,,0,,1,-1.0,0,,0,,2,0.0,22,0.0,1,0.0,0,,2,1.0,0,,5,-0.2,0,,0,
Independence Memorial Hall,0,,4,0.25,0,,0,,0,,0,,0,,3,0.333,3,0.667,0,,0,,0,,0,,0,,1,1.0,9,0.111,0,,0,,0,,8,0.75,0,,0,,0,,0,,0,,2,0.0,0,,0,,2,-0.5,7,0.571,3,1.0,4,0.0,0,,14,0.5,1,0.0,1,0.0,0,,2,0.5,7,-0.143,9,0.0,0,,9,0.222,0,,9,0.444,0,,0,,8,0.375,0,,1,1.0,0,,1,1.0,1,0.0,0,,0,,8,0.0,0,,0,,0,
Isurumuniya Temple,0,,2,0.0,1,0.0,0,,0,,0,,0,,3,0.333,1,1.0,0,,0,,2,0.5,0,,0,,0,,48,0.188,0,,1,0.0,0,,6,0.0,0,,0,,0,,0,,0,,1,0.0,0,,0,,1,0.0,8,0.25,1,-1.0,0,,1,-1.0,1,0.0,0,,2,-0.5,0,,0,,2,0.5,1,0.0,11,-0.455,1,0.0,0,,5,0.0,0,,0,,23,0.261,0,,4,-0.25,0,,22,-0.273,2,0.5,0,,3,0.333,2,0.0,0,,0,,0,
Jaffna Fort,36,0.278,13,-0.077,0,,0,,0,,0,,4,0.25,9,-0.111,2,0.5,0,,0,,0,,0,,3,0.333,1,0.0,19,0.579,0,,2,0.0,5,-0.2,6,0.5,0,,4,0.0,0,,0,,0,,1,0.0,0,,0,,3,1.0,4,0.5,3,0.667,0,,0,,4,0.0,0,,3,1.0,0,,5,0.6,2,-0.5,8,-0.25,1,1.0,7,0.143,1,1.0,12,0.083,0,,3,0.333,8,0.0,0,,1,-1.0,0,,6,0.167,2,0.0,0,,1,1.0,5,-0.2,0,,2,1.0,1,-1.0
Jaffna Public Library,1,1.0,2,-0.5,0,,0,,0,,0,,0,,0,,1,-1.0,0,,0,,0,,0,,2,0.5,0,,4,0.25,0,,1,0.0,3,0.667,1,-1.0,0,,0,,0,,0,,0,,0,,0,,0,,2,0.5,1,1.0,0,,0,,0,,1,0.0,1,0.0,0,,0,,0,,5,0.2,0,,3,0.0,0,,0,,4,-0.75,0,,0,,4,-0.25,0,,2,0.0,0,,1,-1.0,1,-1.0,0,,0,,1,0.0,0,,0,,0,
Jami Ul-Alfar Mosque,1,1.0,3,0.333,0,,0,,0,,0,,0,,3,0.333,0,,0,,0,,0,,0,,3,0.0,0,,2,1.0,0,,8,0.25,6,0.167,10,0.3,0,,0,,0,,0,,0,,0,,0,,0,,2,0.0,18,-0.556,0,,5,0.0,0,,9,0.222,1,0.0,0,,0,,0,,3,0.333,0,,4,0.0,23,0.043,0,,5,0.4,0,,2,1.0,7,0.143,0,,5,0.2,0,,1,-1.0,3,-0.667,0,,8,-0.125,13,0.154,0,,6,0.167,0,
Japanese Peace Pagoda - Rumassala,1,0.0,22,0.091,0,,0,,0,,0,,2,0.5,3,0.0,0,,0,,0,,10,0.1,0,,19,0.158,0,,17,0.353,0,,2,-0.5,0,,6,0.5,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,0.6,2,0.5,0,,0,,6,0.5,7,-0.286,1,1.0,1,0.0,1,0.0,2,0.0,3,-0.667,10,-0.4,1,0.0,0,,6,-0.333,0,,2,0.0,14,0.071,0,,4,0.75,0,,1,-1.0,3,0.333,0,,1,1.0,72,0.278,1,0.0,0,,0,
Jaya Sri Maha Bodhi,0,,5,0.4,0,,0,,0,,0,,0,,7,0.0,0,,0,,0,,5,0.0,0,,4,0.0,0,,31,0.29,0,,0,,1,0.0,4,0.25,0,,0,,0,,0,,0,,2,0.5,0,,0,,1,0.0,3,0.0,5,-0.2,3,0.0,0,,0,,1,0.0,17,-0.059,0,,3,0.667,21,0.095,16,0.125,12,-0.083,3,0.0,0,,2,0.5,0,,1,0.0,7,-0.429,0,,2,0.0,1,-1.0,20,-0.2,2,0.0,0,,2,0.0,5,0.0,0,,0,,0,
Jungle Beach,2,0.0,34,0.059,1,1.0,0,,0,,6,0.333,1,0.0,4,-0.5,21,0.143,0,,4,0.0,1,-1.0,0,,1,1.0,2,-1.0,16,-0.062,0,,18,-0.111,8,0.0,2,0.5,0,,0,,0,,0,,3,-0.333,0,,1,-1.0,0,,1,-1.0,18,0.333,9,0.111,0,,0,,56,0.107,16,-0.188,0,,0,,1,-1.0,6,-0.333,25,0.44,0,,7,0.143,7,0.143,12,0.0,3,0.667,0,,17,0.0,0,,4,-0.25,0,,1,0.0,9,-0.111,6,0.5,0,,76,0.079,0,,0,,4,0.0
Kabalana Beach,0,,8,-0.125,0,,0,,0,,0,,0,,0,,5,0.6,0,,0,,0,,0,,0,,0,,3,0.667,0,,1,-1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,0.375,0,,0,,0,,0,,0,,2,-0.5,0,,1,-1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,
Kalametiya Eco Bird Watching,0,,15,0.133,0,,0,,0,,32,0.188,0,,6,0.5,0,,0,,0,,0,,0,,0,,2,1.0,2,0.5,0,,14,0.5,0,,42,0.524,0,,0,,0,,0,,0,,1,-1.0,0,,0,,0,,0,,0,,1,1.0,0,,0,,0,,0,,0,,3,0.667,0,,1,0.0,0,,2,0.5,0,,1,0.0,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,12,0.25,0,,0,,0,
Kalutara Bodhiya,0,,11,0.091,0,,0,,0,,0,,15,0.2,0,,1,0.0,0,,0,,2,0.0,0,,36,0.056,0,,28,-0.071,0,,0,,0,,8,0.25,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,0.3,3,0.333,5,0.0,0,,0,,4,0.0,1,0.0,0,,1,1.0,0,,0,,8,0.125,4,0.25,0,,2,-0.5,0,,0,,7,0.286,0,,0,,0,,2,-0.5,0,,0,,0,,9,0.222,0,,0,,1,0.0
Kande Viharaya Temple,2,0.5,8,0.125,0,,0,,0,,2,0.0,0,,0,,1,0.0,0,,0,,0,,0,,6,0.0,0,,6,-0.333,0,,0,,0,,6,0.5,0,,0,,0,,0,,0,,0,,0,,0,,3,-0.333,5,0.2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,-0.333,0,,0,,1,0.0,0,,0,,10,-0.1,0,,2,0.5,0,,1,0.0,0,,0,,0,,16,0.062,1,0.0,0,,0,
Kandy Lake,1,0.0,34,0.176,0,,0,,1,1.0,34,0.176,2,0.0,1,-1.0,8,-0.25,0,,0,,0,,0,,0,,0,,8,0.375,0,,7,0.0,2,0.0,6,0.5,0,,0,,0,,0,,0,,1,-1.0,0,,0,,0,,4,0.25,51,-0.02,5,0.2,0,,20,0.15,4,0.0,1,1.0,0,,18,0.167,0,,9,0.222,0,,9,-0.333,0,,3,0.0,0,,0,,3,0.0,0,,4,-0.5,0,,5,-0.2,0,,0,,4,-0.25,25,0.0,0,,0,,0,
Kandy View Point,2,1.0,31,0.161,1,0.0,0,,0,,1,0.0,0,,2,0.0,1,0.0,0,,0,,0,,0,,0,,0,,14,0.0,0,,1,0.0,2,-0.5,7,0.0,0,,0,,0,,0,,0,,2,0.0,0,,0,,0,,18,-0.389,1,-1.0,5,0.4,0,,22,0.318,8,-0.5,1,0.0,0,,3,0.0,1,0.0,5,0.0,0,,7,0.286,2,1.0,2,0.5,0,,12,-0.083,5,0.0,0,,10,0.0,0,,2,0.0,0,,0,,1,0.0,55,0.145,24,0.125,1,-1.0,0,
Kanniya Hot Springs,0,,3,0.0,0,,0,,0,,0,,0,,4,-0.5,0,,0,,21,0.333,0,,0,,0,,0,,47,-0.043,0,,8,-0.125,10,0.0,2,0.0,0,,2,0.5,0,,0,,0,,0,,0,,2,0.5,0,,18,0.056,1,-1.0,2,-0.5,0,,1,-1.0,1,0.0,1,-1.0,0,,0,,0,,0,,4,0.0,6,0.333,9,0.333,4,-0.5,0,,9,0.111,4,0.25,0,,0,,3,0.333,19,-0.158,18,0.167,5,0.0,0,,4,0.25,0,,0,,0,
Kataragama Temple,0,,21,0.238,0,,0,,0,,0,,4,-0.25,3,-0.333,0,,0,,0,,1,-1.0,0,,2,-0.5,0,,6,-0.167,0,,3,0.333,0,,2,0.0,0,,0,,0,,0,,0,,2,-0.5,0,,0,,0,,17,0.059,4,0.25,8,0.375,1,1.0,3,0.333,5,0.0,1,-1.0,0,,0,,9,-0.111,2,0.0,2,0.0,10,0.1,0,,0,,0,,1,0.0,0,,0,,6,-0.333,0,,0,,2,0.0,0,,1,1.0,4,0.5,0,,0,,1,1.0
Kaudulla National Park,0,,55,0.236,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1.0,58,0.155,0,,0,,4,0.0,26,0.192,0,,0,,48,0.292,0,,0,,0,,0,,0,,0,,4,0.25,0,,0,,2,0.0,1,0.0,5,0.0,1,0.0,0,,5,0.0,4,0.0,2,-0.5,0,,2,1.0,1,-1.0,4,0.0,0,,0,,0,,0,,2,0.0,2,0.0,24,0.125,3,0.0,0,,0,,1,1.0,0,,1,1.0,0,
Keerimalai Hot springs,0,,4,-0.25,0,,0,,0,,0,,0,,1,-1.0,0,,0,,12,0.0,2,-0.5,0,,0,,0,,9,0.556,0,,1,0.0,3,0.667,1,-1.0,0,,1,0.0,0,,0,,0,,0,,1,-1.0,0,,0,,3,0.667,0,,3,0.333,0,,0,,1,1.0,0,,0,,0,,0,,0,,0,,1,0.0,5,0.6,2,-0.5,0,,0,,4,-0.25,0,,1,0.0,0,,1,-1.0,5,0.2,0,,1,0.0,5,0.2,0,,0,,0,
Kelaniya Raja Maha Vihara,0,,8,0.375,0,,0,,0,,3,0.333,2,0.5,1,-1.0,0,,0,,0,,1,0.0,0,,5,-0.4,0,,10,0.2,0,,0,,4,0.75,7,0.0,0,,0,,0,,0,,0,,1,0.0,0,,0,,1,0.0,17,0.471,1,-1.0,1,1.0,0,,1,1.0,1,0.0,0,,0,,2,0.5,4,0.25,3,0.333,13,-0.154,6,0.167,0,,1,0.0,0,,0,,5,-0.2,0,,8,0.125,0,,1,0.0,4,0.25,0,,0,,11,0.273,0,,0,,0,
Kiri Vehera,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,2,0.0,0,,0,,0,,1,0.0,1,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Kirinda Viharaya,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,0.0,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1.0,0,,0,,0,,0,,0,,6,-0.167,0,,0,,0,,1,1.0,0,,0,,0,,1,1.0,0,,0,,0,
Knuckles Mountain Range,0,,102,0.167,0,,0,,0,,2,0.0,0,,1,0.0,0,,16,0.312,0,,1,0.0,0,,1,0.0,0,,11,0.091,1,1.0,5,0.4,2,-1.0,23,0.043,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,-0.143,2,-0.5,1,0.0,7,0.571,9,-0.222,1,0.0,0,,2,1.0,1,0.0,6,0.5,0,,1,0.0,7,-0.143,4,-0.25,0,,1,1.0,4,-0.25,0,,4,0.75,0,,0,,8,-0.25,3,-0.333,1,0.0,11,0.0,0,,0,,0,
Koggala Lake,0,,9,0.444,0,,0,,2,0.0,64,0.141,2,0.0,3,0.667,1,0.0,0,,0,,1,1.0,0,,0,,0,,39,0.051,0,,0,,1,0.0,5,0.2,0,,0,,0,,1,0.0,0,,0,,0,,0,,1,-1.0,0,,0,,0,,0,,2,-0.5,0,,0,,0,,0,,2,-0.5,0,,0,,6,-0.333,0,,0,,0,,0,,0,,0,,2,0.0,0,,1,-1.0,0,,0,,0,,19,0.0,0,,0,,0,
Kosgoda Sea Turtle Conservation Project,1,-1.0,23,0.435,0,,0,,0,,1,0.0,0,,7,-0.143,0,,0,,0,,0,,0,,81,0.185,0,,108,0.176,0,,0,,15,0.133,48,0.396,0,,0,,0,,0,,0,,1,1.0,0,,0,,3,0.667,1,0.0,0,,1,1.0,0,,3,-0.333,0,,1,0.0,0,,0,,4,0.5,7,-0.286,0,,9,0.333,0,,5,0.0,0,,21,0.19,1,0.0,0,,1,0.0,1,0.0,27,0.111,2,0.0,0,,0,,16,0.062,0,,1,0.0,1,-1.0
Kumana National Park,0,,9,0.444,0,,0,,0,,0,,1,0.0,0,,0,,13,0.154,0,,0,,0,,0,,0,,21,0.0,0,,1,0.0,0,,5,0.0,0,,0,,5,0.2,0,,0,,0,,0,,0,,1,-1.0,0,,0,,0,,0,,1,-1.0,9,-0.111,0,,0,,0,,0,,0,,0,,0,,0,,2,0.0,0,,0,,1,0.0,0,,0,,0,,2,0.0,0,,0,,0,,2,0.0,0,,2,0.0,0,
Laxapana Falls,0,,4,0.25,0,,0,,0,,0,,4,0.0,5,0.0,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,-1.0,3,0.333,0,,0,,2,0.5,3,0.0,0,,0,,0,,0,,0,,0,,3,-0.333,0,,1,0.0,0,,0,,16,0.312,0,,0,,0,,0,,2,1.0,0,,0,,0,,0,,0,,0,
Lipton's Seat,0,,64,0.219,0,,0,,0,,0,,1,0.0,6,0.167,55,0.309,0,,0,,1,-1.0,0,,1,1.0,0,,102,0.069,0,,30,0.3,1,1.0,7,0.429,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,8,0.25,0,,16,0.188,0,,16,0.312,53,-0.075,0,,1,-1.0,8,0.0,2,-0.5,5,-0.4,0,,35,0.257,0,,7,0.143,0,,0,,7,-0.143,0,,11,-0.182,5,0.2,24,0.042,23,-0.348,0,,5,0.0,302,0.139,2,0.5,0,,1,0.0
Little Adam's Peak View Point,2,-0.5,72,0.292,0,,0,,0,,0,,37,0.351,11,0.273,17,0.059,0,,0,,1,0.0,0,,1,1.0,0,,33,0.212,0,,12,0.25,1,0.0,6,0.333,0,,0,,1,0.0,0,,0,,1,-1.0,1,0.0,0,,0,,9,0.0,6,0.167,2,0.0,0,,11,0.455,8,0.0,2,0.0,0,,1,1.0,1,-1.0,18,-0.111,0,,6,0.5,0,,25,0.4,0,,3,0.667,208,0.024,0,,5,0.0,0,,3,-0.333,8,0.25,0,,0,,58,0.172,1,-1.0,0,,1,-1.0
Lovamahapaya Brazen Palace,0,,1,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,-0.143,0,,0,,0,,1,-1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,0,
Lover's Leap Falls,0,,25,0.28,0,,0,,0,,0,,1,1.0,7,0.143,0,,0,,0,,1,0.0,0,,0,,5,-0.2,25,0.04,0,,3,0.0,0,,4,0.25,0,,0,,0,,0,,0,,0,,0,,0,,0,,21,-0.143,7,0.0,2,0.5,0,,4,0.75,14,-0.214,6,-0.167,0,,1,-1.0,0,,2,0.0,0,,1,0.0,0,,10,-0.1,0,,0,,3,0.0,0,,6,-0.167,0,,1,-1.0,0,,0,,0,,119,0.076,4,0.0,0,,0,
Lunugamvehera National Park,0,,3,0.667,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,6,-0.167,0,,0,,0,,1,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0.0,1,0.0,1,0.0,0,,0,,0,,0,,0,,0,,0,
Madu River Safari by Buddhi,0,,40,0.225,0,,0,,3,0.667,267,0.232,30,0.133,2,0.5,0,,0,,0,,3,-0.333,0,,14,0.143,0,,138,0.094,0,,7,0.143,4,0.25,37,0.297,0,,0,,0,,14,0.214,0,,0,,0,,0,,2,-0.5,2,0.0,0,,2,0.5,0,,11,0.182,0,,1,0.0,0,,2,1.0,0,,15,-0.067,0,,34,0.206,2,-0.5,0,,0,,0,,2,-0.5,0,,1,0.0,1,0.0,4,-0.5,2,1.0,2,0.0,0,,14,-0.071,0,,0,,0,
Maduru Oya National Park,0,,9,0.333,0,,0,,0,,0,,0,,1,1.0,0,,0,,0,,0,,0,,0,,0,,4,-0.25,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,0.0,0,,0,,0,,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,1,0.0,0,,2,-1.0,1,0.0,1,0.0,0,,0,,0,,0,,0,
Maha Saman Dewalaya,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1.0,0,,0,,0,,2,0.0,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,1,1.0,0,,0,,0,,0,,0,,0,,0,,0,,1,0.0,0,,0,,1,0.0,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Maligawila Buddha Statue,0,,7,0.286,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0.0,0,,1,0.0,0,,0,,0,,0,,0,,0,,1,0.0,2,0.0,0,,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Marble Beach,0,,134,0.209,0,,0,,0,,0,,1,0.0,0,,8,0.25,0,,5,0.6,1,1.0,0,,0,,0,,42,0.238,0,,6,0.5,11,0.182,1,0.0,0,,0,,0,,0,,16,0.25,0,,0,,0,,0,,13,0.462,0,,2,-0.5,0,,45,0.222,7,-0.143,3,0.333,0,,1,0.0,25,0.2,7,0.429,0,,6,0.167,15,0.333,2,-1.0,2,0.5,0,,1,0.0,0,,17,0.235,0,,16,0.375,22,0.273,0,,0,,13,0.154,0,,0,,1,1.0
Matara Paravi Duwa Temple,2,0.0,2,-0.5,0,,0,,0,,0,,40,0.075,0,,0,,0,,0,,1,0.0,0,,4,-0.25,0,,12,0.167,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,-0.2,9,0.333,0,,1,1.0,0,,0,,0,,0,,1,0.0,1,1.0,1,0.0,1,-1.0,0,,0,,0,,0,,7,-0.143,0,,0,,0,,1,-1.0,0,,0,,0,,1,0.0,1,1.0,0,,0,
Mihintale,0,,14,0.071,0,,0,,0,,0,,2,-0.5,6,0.5,2,-0.5,0,,0,,4,0.25,0,,4,-0.5,1,1.0,66,0.197,0,,2,0.5,1,0.0,22,0.455,15,0.0,0,,0,,0,,0,,1,0.0,0,,0,,2,0.0,36,0.111,3,-0.333,6,0.333,0,,2,1.0,2,0.0,13,0.154,0,,1,0.0,3,0.333,10,0.3,32,-0.156,5,-0.4,1,0.0,7,0.143,0,,0,,275,0.04,0,,6,-0.167,7,0.0,19,-0.053,3,-1.0,1,1.0,0,,37,0.162,1,0.0,0,,0,
Minneriya National Park,1,-1.0,50,0.22,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,0,,2,0.5,64,0.031,0,,1,0.0,0,,34,0.412,1,-1.0,0,,60,0.217,0,,0,,0,,0,,0,,1,0.0,16,0.125,1,0.0,0,,2,0.0,0,,5,0.0,1,1.0,0,,8,-0.125,5,0.2,4,0.25,0,,0,,2,0.0,4,0.0,0,,0,,1,0.0,0,,3,0.333,4,0.25,26,0.0,2,0.0,0,,0,,1,0.0,1,0.0,0,,0,
Mirissa Beach,3,0.667,82,0.098,0,,0,,0,,4,0.0,2,1.0,2,0.0,31,0.484,0,,0,,0,,0,,0,,0,,11,0.273,0,,4,0.75,3,0.333,2,0.5,0,,0,,0,,0,,9,-0.111,1,-1.0,0,,0,,0,,0,,2,0.0,2,0.5,0,,282,0.443,4,-0.25,0,,1,0.0,5,0.2,13,0.0,16,0.25,0,,15,0.2,7,0.0,4,-0.5,2,1.0,3,-1.0,3,0.0,0,,6,0.167,0,,2,0.0,4,0.5,1,0.0,0,,25,0.2,0,,0,,0,
