place_name,activity,positive_count,negative_count,neutral_count,total_mentions,dominant_sentiment
"Dunhinda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Swimming,2,1,2,5,positive
"Dunhinda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Train ride,2,0,3,5,neutral
"Dunhinda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Trekking,3,1,3,7,positive
"Dunhinda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Viewpoint visit,0,0,5,5,neutral
"Dunhinda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Waterfall visit,87,17,94,198,neutral
Dutch Hospital Shopping Precinct,Ayurveda wellness,0,0,1,1,neutral
Dutch Hospital Shopping Precinct,Fort visit,24,1,9,34,positive
Dutch Hospital Shopping Precinct,Heritage exploration,1,0,1,2,positive
Dutch Hospital Shopping Precinct,Local food tasting,1,0,0,1,positive
Dutch Hospital Shopping Precinct,Photography,4,0,4,8,positive
Dutch Hospital Shopping Precinct,Relaxing,71,2,21,94,positive
Dutch Hospital Shopping Precinct,Seafood tasting,8,0,3,11,positive
Dutch Hospital Shopping Precinct,Shopping,323,41,408,772,neutral
Dutch Hospital Shopping Precinct,Souvenir shopping,38,5,34,77,positive
Dutch Hospital Shopping Precinct,Spa treatment,22,1,32,55,neutral
Dutch Hospital Shopping Precinct,Street food tasting,2,0,2,4,positive
Dutch Hospital Shopping Precinct,Sunset watching,7,0,0,7,positive
Elephant Pass,Bird watching,1,0,1,2,positive
Elephant Pass,Camping,2,0,13,15,neutral
Elephant Pass,Heritage exploration,0,0,3,3,neutral
Elephant Pass,Photography,3,0,6,9,neutral
Elephant Pass,Relaxing,1,0,0,1,positive
Elephant Pass,Sightseeing,1,0,0,1,positive
Elephant Pass,Sunrise watching,1,0,3,4,neutral
Elephant Pass,Sunset watching,3,0,3,6,positive
Elephant Pass,Train ride,1,0,1,2,positive
Elephant Transit Home (ETH),Camping,1,0,3,4,neutral
Elephant Transit Home (ETH),Cycling,1,0,0,1,positive
Elephant Transit Home (ETH),Elephant watching,6,0,10,16,neutral
Elephant Transit Home (ETH),Jeep safari,1,0,2,3,neutral
Elephant Transit Home (ETH),Museum visit,11,0,2,13,positive
Elephant Transit Home (ETH),Photography,16,2,16,34,positive
Elephant Transit Home (ETH),Relaxing,2,0,0,2,positive
Elephant Transit Home (ETH),Safari,31,2,34,67,neutral
Elephant Transit Home (ETH),Shopping,4,1,7,12,neutral
Elephant Transit Home (ETH),Souvenir shopping,1,0,1,2,positive
Elephant Transit Home (ETH),Spa treatment,1,0,0,1,positive
Elephant Transit Home (ETH),Sunset watching,1,0,0,1,positive
Elephant Transit Home (ETH),Swimming,0,0,2,2,neutral
Elephant Transit Home (ETH),Waterfall visit,1,0,1,2,positive
Elephant Transit Home (ETH),Wildlife watching,0,0,1,1,neutral
Ella Rock,Ayurveda wellness,1,0,0,1,positive
Ella Rock,Camping,1,0,2,3,neutral
Ella Rock,Cooking class,1,0,0,1,positive
Ella Rock,Cycling,1,0,0,1,positive
Ella Rock,Forest walk,2,0,0,2,positive
Ella Rock,Fort visit,0,0,1,1,neutral
Ella Rock,Hiking,204,35,170,409,positive
Ella Rock,Mountain climbing,0,0,1,1,neutral
Ella Rock,Nature walk,1,0,0,1,positive
Ella Rock,Photography,23,4,25,52,neutral
Ella Rock,Picnic,2,0,1,3,positive
Ella Rock,Relaxing,10,0,4,14,positive
Ella Rock,Religious visit,9,0,7,16,positive
Ella Rock,Rock climbing,1,0,0,1,positive
Ella Rock,Safari,1,0,0,1,positive
Ella Rock,Shopping,2,1,11,14,neutral
Ella Rock,Sightseeing,0,0,1,1,neutral
Ella Rock,Spa treatment,1,0,0,1,positive
Ella Rock,Sunrise watching,31,2,25,58,positive
Ella Rock,Sunset watching,2,1,2,5,positive
Ella Rock,Swimming,0,0,5,5,neutral
Ella Rock,Tea plantation visit,6,0,8,14,neutral
Ella Rock,Temple visit,3,1,2,6,positive
Ella Rock,Train ride,1,0,4,5,neutral
Ella Rock,Trekking,35,4,33,72,positive
Ella Rock,Viewpoint visit,17,7,30,54,neutral
Ella Rock,Waterfall visit,15,2,18,35,neutral
Ella Rock,Whale watching,1,0,0,1,positive
Ella Rock,Ziplining,1,0,1,2,positive
Embekka Devalaya,Hiking,1,0,0,1,positive
Embekka Devalaya,Photography,1,0,2,3,neutral
Embekka Devalaya,Sunset watching,0,1,0,1,negative
Embekka Devalaya,Temple visit,6,0,4,10,positive
Embekka Devalaya,Trekking,2,0,2,4,positive
Fort Frederick,Beach relaxing,1,0,0,1,positive
Fort Frederick,Beach walking,1,0,0,1,positive
Fort Frederick,Camping,6,0,9,15,neutral
Fort Frederick,Cycling,3,0,0,3,positive
Fort Frederick,Fishing,2,0,0,2,positive
Fort Frederick,Fort visit,144,5,173,322,neutral
Fort Frederick,Photography,14,0,3,17,positive
Fort Frederick,Pilgrimage,2,1,1,4,positive
Fort Frederick,Relaxing,7,0,3,10,positive
Fort Frederick,Religious visit,1,0,0,1,positive
Fort Frederick,Ruins exploration,2,0,0,2,positive
Fort Frederick,Scenic drive,0,0,8,8,neutral
Fort Frederick,Shopping,6,0,2,8,positive
Fort Frederick,Sightseeing,0,0,3,3,neutral
Fort Frederick,Souvenir shopping,2,0,5,7,neutral
Fort Frederick,Sunrise watching,0,0,2,2,neutral
Fort Frederick,Sunset watching,2,0,1,3,positive
Fort Frederick,Swimming,1,0,0,1,positive
Fort Frederick,Temple visit,36,2,55,93,neutral
Fort Frederick,Viewpoint visit,1,0,4,5,neutral
Fort Frederick,Whale watching,0,0,1,1,neutral
Gal Oya National Park,Bird watching,1,0,0,1,positive
Gal Oya National Park,Boat ride,6,0,9,15,neutral
Gal Oya National Park,Boat safari,17,0,16,33,positive
Gal Oya National Park,Camping,6,0,13,19,neutral
Gal Oya National Park,Diving,0,0,1,1,neutral
Gal Oya National Park,Elephant watching,5,0,6,11,neutral
Gal Oya National Park,Fishing,0,0,1,1,neutral
Gal Oya National Park,Forest walk,0,0,1,1,neutral
Gal Oya National Park,Hiking,0,1,0,1,negative
Gal Oya National Park,Jeep safari,7,0,7,14,positive
Gal Oya National Park,Leopard watching,1,0,1,2,positive
Gal Oya National Park,Photography,3,0,1,4,positive
Gal Oya National Park,Picnic,2,0,0,2,positive
Gal Oya National Park,Relaxing,6,0,0,6,positive
Gal Oya National Park,Safari,18,0,26,44,neutral
Gal Oya National Park,Snorkelling,0,0,1,1,neutral
Gal Oya National Park,Sunset watching,2,0,2,4,positive
Gal Oya National Park,Swimming,6,1,12,19,neutral
Gal Oya National Park,Wildlife watching,1,1,1,3,positive
Gal Vihara,Ancient city visit,53,1,58,112,neutral
Gal Vihara,Caving,1,0,0,1,positive
Gal Vihara,Cycling,1,0,2,3,neutral
Gal Vihara,Heritage exploration,6,0,18,24,neutral
Gal Vihara,Meditation,7,0,9,16,neutral
Gal Vihara,Museum visit,0,1,4,5,neutral
Gal Vihara,Photography,14,0,32,46,neutral
Gal Vihara,Picnic,0,0,1,1,neutral
Gal Vihara,Pilgrimage,3,0,4,7,neutral
Gal Vihara,Relaxing,0,0,1,1,neutral
Gal Vihara,Religious visit,38,0,35,73,positive
Gal Vihara,Ruins exploration,17,1,26,44,neutral
Gal Vihara,Sightseeing,0,0,3,3,neutral
Gal Vihara,Sunset watching,1,0,1,2,positive
Gal Vihara,Temple visit,249,12,295,556,neutral
Gal Vihara,Trekking,1,0,0,1,positive
Galle Dutch Fort,Ayurveda wellness,0,0,1,1,neutral
Galle Dutch Fort,Beach walking,2,0,0,2,positive
Galle Dutch Fort,Cycling,1,0,0,1,positive
Galle Dutch Fort,Diving,5,0,0,5,positive
Galle Dutch Fort,Fishing,1,0,0,1,positive
Galle Dutch Fort,Fort visit,456,20,408,884,positive
Galle Dutch Fort,Heritage exploration,25,1,28,54,neutral
Galle Dutch Fort,Local food tasting,2,0,0,2,positive
Galle Dutch Fort,Museum visit,3,0,4,7,neutral
Galle Dutch Fort,Photography,26,0,14,40,positive
Galle Dutch Fort,Picnic,1,0,1,2,positive
Galle Dutch Fort,Relaxing,27,0,11,38,positive
Galle Dutch Fort,Religious visit,5,0,9,14,neutral
Galle Dutch Fort,Ruins exploration,2,0,2,4,positive
Galle Dutch Fort,Safari,0,0,2,2,neutral
Galle Dutch Fort,Sea bathing,1,0,0,1,positive
Galle Dutch Fort,Seafood tasting,4,0,1,5,positive
Galle Dutch Fort,Shopping,120,11,112,243,positive
Galle Dutch Fort,Sightseeing,2,0,1,3,positive
Galle Dutch Fort,Snorkelling,1,0,1,2,positive
Galle Dutch Fort,Souvenir shopping,8,1,11,20,neutral
Galle Dutch Fort,Spa treatment,3,0,1,4,positive
Galle Dutch Fort,Street food tasting,2,0,1,3,positive
Galle Dutch Fort,Sunbathing,0,0,1,1,neutral
Galle Dutch Fort,Sunrise watching,1,0,4,5,neutral
Galle Dutch Fort,Sunset watching,60,0,18,78,positive
Galle Dutch Fort,Surfing,1,0,0,1,positive
Galle Dutch Fort,Swimming,4,1,3,8,positive
Galle Dutch Fort,Temple visit,0,0,2,2,neutral
Galle Dutch Fort,Train ride,2,2,2,6,positive
Galle Dutch Fort,Trekking,1,0,1,2,positive
Galle Dutch Fort,Turtle watching,0,0,1,1,neutral
Galle Dutch Fort,Viewpoint visit,1,0,0,1,positive
Galle Dutch Fort,Whale watching,2,0,0,2,positive
Galle Face Green,Ancient city visit,0,0,1,1,neutral
Galle Face Green,Beach relaxing,0,0,2,2,neutral
Galle Face Green,Beach walking,1,0,5,6,neutral
Galle Face Green,Fort visit,0,0,3,3,neutral
Galle Face Green,Heritage exploration,1,0,0,1,positive
Galle Face Green,Local food tasting,4,0,6,10,neutral
Galle Face Green,Photography,4,0,5,9,neutral
Galle Face Green,Picnic,3,0,3,6,positive
Galle Face Green,Relaxing,81,1,27,109,positive
Galle Face Green,Ruins exploration,1,0,0,1,positive
Galle Face Green,Scenic drive,1,0,0,1,positive
Galle Face Green,Seafood tasting,3,1,10,14,neutral
Galle Face Green,Shopping,16,0,16,32,positive
Galle Face Green,Sightseeing,1,0,1,2,positive
Galle Face Green,Spa treatment,4,0,0,4,positive
Galle Face Green,Street food tasting,41,7,62,110,neutral
Galle Face Green,Sunbathing,0,1,0,1,negative
Galle Face Green,Sunrise watching,2,0,0,2,positive
Galle Face Green,Sunset watching,89,2,39,130,positive
Galle Face Green,Swimming,2,4,10,16,neutral
Galle Face Green,Temple visit,1,0,0,1,positive
Galle Face Green,Viewpoint visit,0,0,1,1,neutral
Galle Face HotelSomeone from this business manages the listing.,Seafood tasting,1,0,0,1,positive
Galle Face HotelSomeone from this business manages the listing.,Shopping,1,0,0,1,positive
Galle Face HotelSomeone from this business manages the listing.,Swimming,0,0,1,1,neutral
Galle Fort Lighthouse,Ayurveda wellness,1,1,0,2,positive
Galle Fort Lighthouse,Beach walking,1,0,1,2,positive
Galle Fort Lighthouse,Boat ride,1,0,1,2,positive
Galle Fort Lighthouse,Cycling,0,0,1,1,neutral
Galle Fort Lighthouse,Diving,3,0,2,5,positive
Galle Fort Lighthouse,Fort visit,244,16,219,479,positive
Galle Fort Lighthouse,Heritage exploration,8,0,6,14,positive
Galle Fort Lighthouse,Hiking,0,0,1,1,neutral
Galle Fort Lighthouse,Photography,129,1,42,172,positive
Galle Fort Lighthouse,Picnic,2,0,1,3,positive
Galle Fort Lighthouse,Relaxing,9,0,3,12,positive
Galle Fort Lighthouse,Religious visit,3,0,3,6,positive
Galle Fort Lighthouse,Sea bathing,3,0,3,6,positive
Galle Fort Lighthouse,Shopping,19,0,16,35,positive
Galle Fort Lighthouse,Sightseeing,1,0,0,1,positive
Galle Fort Lighthouse,Souvenir shopping,2,0,1,3,positive
Galle Fort Lighthouse,Spa treatment,1,0,1,2,positive
Galle Fort Lighthouse,Sunbathing,1,0,0,1,positive
Galle Fort Lighthouse,Sunrise watching,9,0,4,13,positive
Galle Fort Lighthouse,Sunset watching,35,1,23,59,positive
Galle Fort Lighthouse,Surfing,1,0,0,1,positive
Galle Fort Lighthouse,Swimming,14,1,6,21,positive
Galle Fort Lighthouse,Viewpoint visit,4,0,0,4,positive
Galway's Land National Park,Bird watching,3,0,4,7,neutral
Galway's Land National Park,Camping,0,0,1,1,neutral
Galway's Land National Park,Forest walk,2,0,2,4,positive
Galway's Land National Park,Hiking,5,0,3,8,positive
Galway's Land National Park,Photography,1,0,3,4,neutral
Galway's Land National Park,Relaxing,4,0,1,5,positive
Galway's Land National Park,Safari,0,0,1,1,neutral
Galway's Land National Park,Trekking,1,0,5,6,neutral
Galway's Land National Park,Viewpoint visit,1,0,0,1,positive
Galway's Land National Park,Walking trail,0,0,1,1,neutral
Gangaramaya Temple,Ancient city visit,0,0,1,1,neutral
Gangaramaya Temple,Boat ride,0,0,4,4,neutral
Gangaramaya Temple,Diving,0,0,2,2,neutral
Gangaramaya Temple,Fort visit,0,0,1,1,neutral
Gangaramaya Temple,Meditation,8,0,16,24,neutral
Gangaramaya Temple,Museum visit,25,0,18,43,positive
Gangaramaya Temple,Photography,13,2,30,45,neutral
Gangaramaya Temple,Pilgrimage,2,0,4,6,neutral
Gangaramaya Temple,Relaxing,22,0,3,25,positive
Gangaramaya Temple,Religious visit,25,1,22,48,positive
Gangaramaya Temple,Shopping,2,0,4,6,neutral
Gangaramaya Temple,Sightseeing,1,0,1,2,positive
Gangaramaya Temple,Souvenir shopping,1,0,0,1,positive
Gangaramaya Temple,Sunset watching,3,0,0,3,positive
Gangaramaya Temple,Temple visit,324,12,303,639,positive
Gartmore Falls,Hiking,1,0,1,2,positive
Gartmore Falls,Swimming,1,0,1,2,positive
Gartmore Falls,Waterfall visit,3,0,2,5,positive
Goyambokka Beach,Beach relaxing,1,0,1,2,positive
Goyambokka Beach,Bird watching,0,0,1,1,neutral
Goyambokka Beach,Boat ride,1,0,0,1,positive
Goyambokka Beach,Body boarding,6,0,0,6,positive
Goyambokka Beach,Canoeing,0,0,1,1,neutral
Goyambokka Beach,Cycling,1,0,0,1,positive
Goyambokka Beach,Fishing,2,0,1,3,positive
Goyambokka Beach,Photography,4,1,2,7,positive
Goyambokka Beach,Relaxing,36,1,10,47,positive
Goyambokka Beach,Ruins exploration,1,0,1,2,positive
Goyambokka Beach,Safari,0,0,1,1,neutral
Goyambokka Beach,Sea bathing,0,0,1,1,neutral
Goyambokka Beach,Seafood tasting,12,2,9,23,positive
Goyambokka Beach,Shopping,0,0,1,1,neutral
Goyambokka Beach,Snorkelling,4,0,1,5,positive
Goyambokka Beach,Spa treatment,15,1,6,22,positive
Goyambokka Beach,Sunbathing,8,0,1,9,positive
Goyambokka Beach,Sunrise watching,1,0,0,1,positive
Goyambokka Beach,Sunset watching,1,0,0,1,positive
Goyambokka Beach,Surfing,18,2,11,31,positive
Goyambokka Beach,Swimming,72,14,30,116,positive
Goyambokka Beach,Trekking,1,0,0,1,positive
Goyambokka Beach,Turtle watching,1,0,0,1,positive
Goyambokka Beach,Viewpoint visit,1,0,0,1,positive
Goyambokka Beach,Yoga,1,0,0,1,positive
Gregory Lake,Boat ride,82,5,82,169,positive
Gregory Lake,Boat safari,2,0,0,2,positive
Gregory Lake,Cycling,8,0,10,18,neutral
Gregory Lake,Fishing,0,0,3,3,neutral
Gregory Lake,Hiking,1,0,0,1,positive
Gregory Lake,Kayaking,1,0,4,5,neutral
Gregory Lake,Local food tasting,0,0,2,2,neutral
Gregory Lake,Meditation,0,0,1,1,neutral
Gregory Lake,Photography,21,0,8,29,positive
Gregory Lake,Picnic,2,2,5,9,neutral
Gregory Lake,Relaxing,70,1,18,89,positive
Gregory Lake,Safari,3,0,0,3,positive
Gregory Lake,Scenic drive,2,0,2,4,positive
Gregory Lake,Seafood tasting,0,0,1,1,neutral
Gregory Lake,Shopping,6,1,9,16,neutral
Gregory Lake,Sightseeing,2,1,0,3,positive
Gregory Lake,Souvenir shopping,1,0,0,1,positive
Gregory Lake,Street food tasting,2,0,3,5,neutral
Gregory Lake,Sunset watching,2,0,1,3,positive
Gregory Lake,Swimming,0,0,2,2,neutral
Gregory Lake,Temple visit,2,0,0,2,positive
Gregory Lake,Train ride,0,0,1,1,neutral
Gregory Lake,Trekking,1,0,0,1,positive
Gregory Lake,Walking trail,1,0,0,1,positive
Gregory Lake,Wind surfing,1,0,0,1,positive
Hakgala Botanic Gardens,Ayurveda wellness,0,0,1,1,neutral
Hakgala Botanic Gardens,Bird watching,1,1,2,4,neutral
Hakgala Botanic Gardens,Hiking,0,0,1,1,neutral
Hakgala Botanic Gardens,Meditation,2,0,0,2,positive
Hakgala Botanic Gardens,Photography,25,2,11,38,positive
Hakgala Botanic Gardens,Picnic,1,2,6,9,neutral
Hakgala Botanic Gardens,Relaxing,32,0,11,43,positive
Hakgala Botanic Gardens,Shopping,1,1,5,7,neutral
Hakgala Botanic Gardens,Tea tasting,0,0,1,1,neutral
Hakgala Botanic Gardens,Temple visit,0,0,1,1,neutral
Hakgala Botanic Gardens,Trekking,1,0,2,3,neutral
Handunugoda Tea Estate,Camping,0,0,1,1,neutral
Handunugoda Tea Estate,Diving,0,0,1,1,neutral
Handunugoda Tea Estate,Hiking,0,0,1,1,neutral
Handunugoda Tea Estate,Museum visit,12,1,12,25,positive
Handunugoda Tea Estate,Photography,9,1,7,17,positive
Handunugoda Tea Estate,Relaxing,12,0,1,13,positive
Handunugoda Tea Estate,Religious visit,0,1,0,1,negative
Handunugoda Tea Estate,Scenic drive,2,0,1,3,positive
Handunugoda Tea Estate,Shopping,58,6,74,138,neutral
Handunugoda Tea Estate,Souvenir shopping,5,1,2,8,positive
Handunugoda Tea Estate,Tea factory visit,19,0,11,30,positive
Handunugoda Tea Estate,Tea plantation visit,576,25,472,1073,positive
Handunugoda Tea Estate,Tea tasting,52,1,40,93,positive
Handunugoda Tea Estate,Trekking,1,0,0,1,positive
Handunugoda Tea Estate,Whale watching,0,0,2,2,neutral
Henerathgoda Botanical Garden,Boat ride,2,0,2,4,positive
Henerathgoda Botanical Garden,Photography,0,0,3,3,neutral
Henerathgoda Botanical Garden,Picnic,0,0,1,1,neutral
Henerathgoda Botanical Garden,Relaxing,7,0,6,13,positive
Henerathgoda Botanical Garden,Temple visit,1,0,0,1,positive
Henerathgoda Botanical Garden,Waterfall visit,0,0,1,1,neutral
Hikkaduwa Beach,Ayurveda wellness,1,0,1,2,positive
Hikkaduwa Beach,Beach relaxing,1,0,1,2,positive
Hikkaduwa Beach,Beach walking,6,1,7,14,neutral
Hikkaduwa Beach,Boat ride,5,1,9,15,neutral
Hikkaduwa Beach,Boat safari,0,0,1,1,neutral
Hikkaduwa Beach,Body boarding,2,0,0,2,positive
Hikkaduwa Beach,Camping,0,0,1,1,neutral
Hikkaduwa Beach,Canoeing,2,0,0,2,positive
Hikkaduwa Beach,Diving,27,2,22,51,positive
Hikkaduwa Beach,Fishing,4,1,4,9,positive
Hikkaduwa Beach,Fort visit,0,0,1,1,neutral
Hikkaduwa Beach,Lagoon visit,0,1,0,1,negative
Hikkaduwa Beach,Museum visit,0,0,1,1,neutral
Hikkaduwa Beach,Paddle boarding,0,0,2,2,neutral
Hikkaduwa Beach,Photography,9,0,6,15,positive
Hikkaduwa Beach,Relaxing,60,8,26,94,positive
Hikkaduwa Beach,Safari,0,0,3,3,neutral
Hikkaduwa Beach,Scenic train ride,1,0,0,1,positive
Hikkaduwa Beach,Scuba diving,8,0,7,15,positive
Hikkaduwa Beach,Sea bathing,5,0,2,7,positive
Hikkaduwa Beach,Seafood tasting,12,1,2,15,positive
Hikkaduwa Beach,Shopping,22,1,19,42,positive
Hikkaduwa Beach,Sightseeing,1,1,0,2,positive
Hikkaduwa Beach,Snorkelling,92,8,63,163,positive
Hikkaduwa Beach,Souvenir shopping,2,0,2,4,positive
Hikkaduwa Beach,Spa treatment,2,0,2,4,positive
Hikkaduwa Beach,Street food tasting,0,0,1,1,neutral
Hikkaduwa Beach,Sunbathing,3,0,2,5,positive
Hikkaduwa Beach,Sunrise watching,3,0,0,3,positive
Hikkaduwa Beach,Sunset watching,34,1,10,45,positive
Hikkaduwa Beach,Surfing,93,12,70,175,positive
Hikkaduwa Beach,Swimming,77,27,73,177,positive
Hikkaduwa Beach,Train ride,2,0,4,6,neutral
Hikkaduwa Beach,Turtle watching,5,0,8,13,neutral
Hikkaduwa Beach,Whale watching,3,0,0,3,positive
Hikkaduwa Beach,Wind surfing,0,0,2,2,neutral
Hiriketiya Beach,Ayurveda wellness,0,0,1,1,neutral
Hiriketiya Beach,Camping,1,0,1,2,positive
Hiriketiya Beach,Fishing,1,0,0,1,positive
Hiriketiya Beach,Local food tasting,1,0,0,1,positive
Hiriketiya Beach,Photography,0,0,1,1,neutral
Hiriketiya Beach,Relaxing,16,0,4,20,positive
Hiriketiya Beach,Ruins exploration,0,0,1,1,neutral
Hiriketiya Beach,Sea bathing,1,0,0,1,positive
Hiriketiya Beach,Seafood tasting,0,0,1,1,neutral
Hiriketiya Beach,Shopping,1,0,4,5,neutral
Hiriketiya Beach,Snorkelling,3,0,2,5,positive
Hiriketiya Beach,Spa treatment,0,0,1,1,neutral
Hiriketiya Beach,Sunbathing,1,0,0,1,positive
Hiriketiya Beach,Sunrise watching,4,0,2,6,positive
Hiriketiya Beach,Sunset watching,2,0,0,2,positive
Hiriketiya Beach,Surfing,78,5,43,126,positive
Hiriketiya Beach,Swimming,22,2,13,37,positive
Hiriketiya Beach,Temple visit,1,0,0,1,positive
Hiriketiya Beach,Yoga,2,2,2,6,positive
Horton Plains National Park,Ayurveda wellness,0,0,1,1,neutral
Horton Plains National Park,Bird watching,0,0,3,3,neutral
Horton Plains National Park,Camping,4,1,2,7,positive
Horton Plains National Park,Cycling,1,0,0,1,positive
Horton Plains National Park,Forest walk,2,0,4,6,neutral
Horton Plains National Park,Heritage exploration,1,0,3,4,neutral
Horton Plains National Park,Hiking,192,31,130,353,positive
Horton Plains National Park,Museum visit,0,0,2,2,neutral
Horton Plains National Park,Nature walk,1,0,2,3,neutral
Horton Plains National Park,Photography,21,3,25,49,neutral
Horton Plains National Park,Picnic,2,0,1,3,positive
Horton Plains National Park,Relaxing,7,0,2,9,positive
Horton Plains National Park,Rock climbing,1,0,0,1,positive
Horton Plains National Park,Ruins exploration,0,1,2,3,neutral
Horton Plains National Park,Safari,2,0,0,2,positive
Horton Plains National Park,Scenic drive,1,0,0,1,positive
Horton Plains National Park,Shopping,2,0,2,4,positive
Horton Plains National Park,Sightseeing,0,0,1,1,neutral
Horton Plains National Park,Sunrise watching,26,0,18,44,positive
Horton Plains National Park,Sunset watching,1,0,0,1,positive
Horton Plains National Park,Swimming,3,0,0,3,positive
Horton Plains National Park,Tea factory visit,0,0,1,1,neutral
Horton Plains National Park,Train ride,1,0,1,2,positive
Horton Plains National Park,Trekking,57,3,67,127,neutral
Horton Plains National Park,Viewpoint visit,13,0,16,29,neutral
Horton Plains National Park,Walking trail,1,1,1,3,positive
Horton Plains National Park,Waterfall visit,66,6,41,113,positive
Horton Plains National Park,Wildlife watching,0,0,2,2,neutral
Horton Plains National Park,Yoga,0,1,0,1,negative
Hummanaya Blow Hole,Boat ride,1,0,1,2,positive
Hummanaya Blow Hole,Fishing,5,1,8,14,neutral
Hummanaya Blow Hole,Hiking,1,1,3,5,neutral
Hummanaya Blow Hole,Museum visit,2,0,0,2,positive
Hummanaya Blow Hole,Photography,8,1,5,14,positive
Hummanaya Blow Hole,Relaxing,1,0,0,1,positive
Hummanaya Blow Hole,Shopping,2,2,5,9,neutral
Hummanaya Blow Hole,Street food tasting,0,1,0,1,negative
Hummanaya Blow Hole,Swimming,0,0,1,1,neutral
Hummanaya Blow Hole,Trekking,2,2,2,6,positive
Hummanaya Blow Hole,Viewpoint visit,1,0,0,1,positive
Hurulu Eco Park,Bird watching,2,0,1,3,positive
Hurulu Eco Park,Boat ride,0,0,1,1,neutral
Hurulu Eco Park,Elephant watching,21,4,49,74,neutral
Hurulu Eco Park,Jeep safari,10,0,18,28,neutral
Hurulu Eco Park,Photography,13,1,18,32,neutral
Hurulu Eco Park,Relaxing,2,0,2,4,positive
Hurulu Eco Park,Ruins exploration,1,0,1,2,positive
Hurulu Eco Park,Safari,67,11,133,211,neutral
Hurulu Eco Park,Scenic drive,2,0,3,5,neutral
Hurulu Eco Park,Shopping,0,0,2,2,neutral
Hurulu Eco Park,Spa treatment,1,0,0,1,positive
Hurulu Eco Park,Sunset watching,8,0,3,11,positive
Hurulu Eco Park,Trekking,0,0,1,1,neutral
Hurulu Eco Park,Viewpoint visit,6,1,3,10,positive
Hurulu Eco Park,Wildlife watching,1,0,0,1,positive
Independence Memorial Hall,Cycling,1,0,1,2,positive
Independence Memorial Hall,Heritage exploration,0,0,1,1,neutral
Independence Memorial Hall,Museum visit,10,2,5,17,positive
Independence Memorial Hall,Photography,39,0,28,67,positive
Independence Memorial Hall,Picnic,3,0,0,3,positive
Independence Memorial Hall,Relaxing,24,0,11,35,positive
Independence Memorial Hall,Shopping,22,0,24,46,neutral
Independence Memorial Hall,Sightseeing,1,0,2,3,neutral
Independence Memorial Hall,Sunset watching,0,0,1,1,neutral
Independence Memorial Hall,Temple visit,0,0,1,1,neutral
Independence Memorial Hall,Yoga,2,0,0,2,positive
Isurumuniya Temple,Ancient city visit,25,1,24,50,positive
Isurumuniya Temple,Bird watching,0,0,1,1,neutral
Isurumuniya Temple,Elephant watching,0,0,1,1,neutral
Isurumuniya Temple,Heritage exploration,1,0,4,5,neutral
Isurumuniya Temple,Hiking,0,0,1,1,neutral
Isurumuniya Temple,Meditation,1,0,0,1,positive
Isurumuniya Temple,Museum visit,4,0,13,17,neutral
Isurumuniya Temple,Photography,4,2,12,18,neutral
Isurumuniya Temple,Pilgrimage,0,0,1,1,neutral
Isurumuniya Temple,Relaxing,7,0,1,8,positive
Isurumuniya Temple,Religious visit,9,1,12,22,neutral
Isurumuniya Temple,Rock climbing,0,0,1,1,neutral
Isurumuniya Temple,Ruins exploration,1,0,2,3,neutral
Isurumuniya Temple,Sightseeing,3,0,2,5,positive
Isurumuniya Temple,Spa treatment,1,0,0,1,positive
Isurumuniya Temple,Sunset watching,6,0,0,6,positive
Isurumuniya Temple,Temple visit,136,13,184,333,neutral
Isurumuniya Temple,Train ride,0,0,1,1,neutral
Isurumuniya Temple,Viewpoint visit,1,0,2,3,neutral
Jaffna Fort,Ancient city visit,0,0,1,1,neutral
Jaffna Fort,Boat ride,1,0,0,1,positive
Jaffna Fort,Cycling,0,0,1,1,neutral
Jaffna Fort,Fishing,3,0,1,4,positive
Jaffna Fort,Fort visit,301,22,326,649,neutral
Jaffna Fort,Heritage exploration,4,0,6,10,neutral
Jaffna Fort,Museum visit,1,0,2,3,neutral
Jaffna Fort,Photography,20,0,17,37,positive
Jaffna Fort,Picnic,0,0,1,1,neutral
Jaffna Fort,Relaxing,5,1,1,7,positive
Jaffna Fort,Religious visit,2,0,4,6,neutral
Jaffna Fort,Ruins exploration,12,1,10,23,positive
Jaffna Fort,Scenic drive,1,0,0,1,positive
Jaffna Fort,Shopping,1,0,9,10,neutral
Jaffna Fort,Sightseeing,1,0,3,4,neutral
Jaffna Fort,Souvenir shopping,0,0,1,1,neutral
Jaffna Fort,Sunrise watching,1,0,0,1,positive
Jaffna Fort,Sunset watching,36,0,15,51,positive
Jaffna Fort,Swimming,1,0,0,1,positive
Jaffna Fort,Tea plantation visit,0,0,1,1,neutral
Jaffna Fort,Temple visit,1,0,1,2,positive
Jaffna Fort,Train ride,1,0,0,1,positive
Jaffna Fort,Viewpoint visit,1,0,1,2,positive
