poi_name,category,latitude,longitude,full_address,city,district,province
Turtle Conservation Project Turtle Watch,Wildlife Conservation,6.1643829,80.0902958,"Sea Turtle Hatchery & Rescue Center, Hikkaduwa, Galle District, Southern Province, 80312, Sri Lanka",Hikkaduwa,Galle District,Southern Province
Twin Baths (Kuttam Pokuna),Heritage Site,8.3085,80.39,,,,
Udawalawe National Park,National Park / Wildlife Reserve,6.5121582,80.887626,"Udawalawe National Park, Monaragala District, Uva Province, Sri Lanka",,Monaragala District,Uva Province
Unawatuna Beach,Beach,6.0081669,80.2443683,"Unawatuna, Rumassala, Galle District, Southern Province, Sri Lanka",Rumassala,Galle District,Southern Province
Uppuveli Beach,Beach,8.5987375,81.2226276,"Uppuveli Beach, Trincomalee, Trincomalee District, Eastern Province, Sri Lanka",Trincomalee,Trincomalee District,Eastern Province
Victoria Park of Nuwara Eliya,Garden / Park,6.9138226,79.8614842,"Vihara Maha Devi Park, Cinnamon Gardens, Slave Island, Colombo, Colombo District, Western Province, Sri Lanka",Colombo,Colombo District,Western Province
Viharamahadevi Park,Garden / Park,6.9148992,79.8613636,"Viharamahadevi Park Aquarium, Srimath Anagarika Dharmapala Mawatha, Cinnamon Gardens, Slave Island, Colombo, Colombo District, Western Province, 00010, Sri Lanka",Colombo,Colombo District,Western Province
Visit Kanneliya Rain Forest,Forest Reserve,6.2474622,80.3476291,"Kanneliya Rain Forest, Panangala Dhahe kade, Galle District, Southern Province, Sri Lanka",Panangala Dhahe kade,Galle District,Southern Province
Wasgamuwa National Park,National Park / Wildlife Reserve,7.7434134,80.9156975,"Wasgamuwa National Park, Polonnaruwa District, North Central Province, Sri Lanka",,Polonnaruwa District,North Central Province
Weherahena Buddhist Temple,Religious Site,5.9529,80.5755,,,,
Weligama Beach,Beach,5.9688378,80.4251596,"Weligama Beach, Weligama, Matara District, Southern Province, Sri Lanka",Weligama,Matara District,Southern Province
Wewurukannala Vihara,Religious Site,5.9458,80.7183,,,,
Whale Watching in Mirissa,Activity / Experience,5.9033478,80.4949752,"Whale Watching Area, Matara District, Southern Province, 81750, Sri Lanka",,Matara District,Southern Province
Wilpattu National Park,National Park / Wildlife Reserve,8.4496505,80.0167297,"Wilpattu National Park, North Western Province, Sri Lanka",,,North Western Province
Wolvendaal Church,Religious Site,6.9420432,79.8590271,"Wolvendaal Church, Sir Ratnajothy Saravanamuttu Mawatha (Wolfendahl Street), Gintupitiya, St. Bastian, Colombo, Colombo District, Western Province, 01200, Sri Lanka",Colombo,Colombo District,Western Province
Yala National Park,National Park / Wildlife Reserve,6.5709721,81.5072819,"Yala National Park, Uva Province, Sri Lanka",,,Uva Province
Yapahuwa Rock Fortress,Heritage Site,7.8168,80.3107,,,,
