,Aberdeen Falls,Abhayagiri Dagaba,Ambewela Farms,Ambuluwawa Tower,Ancient City of Polonnaruwa,Angurukaramulla Temple,Arugam Bay,Bahiravokanda Vihara Buddha Statue,Baker's Falls,Bambarakanda Falls,Batticaloa Fort,Beddegana Wetland Park,Bentota Beach,Bogoda Wooden Bridge,Bopath Ella (Bopath Falls),Brief Garden - Bevis Bawa,Buduruwagala Temple,Casuarina Beach,Ceylon Tea Museum,Coconut Tree Hill,Colombo Lotus Tower,Colombo National Museum,Dagoba of Thuparama,Dambulla Cave Temple,Dehiwala Zoo - Sri Lanka,Demodara Loop,Devon Falls,Diyaluma Falls,Diyatha Uyana,Dondra Head Lighthouse,Dunhinda Falls,Dutch Hospital Shopping Precinct,Elephant Pass,Elephant Transit Home (ETH),Ella Rock,Embekka Devalaya,Fort Frederick,Gal Oya National Park,Gal Vihara,Galle Dutch Fort,Galle Face Green,Galle Face Hotel,Galle Fort Lighthouse,Galway's Land National Park,Gangaramaya Temple,Gartmore Falls,Goyambokka Beach,Gregory Lake,Hakgala Botanic Gardens,Handunugoda Tea Estate,Henerathgoda Botanical Garden,Hikkaduwa Beach,Hiriketiya Beach,Horton Plains National Park,Hummanaya Blow Hole,Hurulu Eco Park,Independence Memorial Hall,Isurumuniya Temple,Jaffna Fort,Jaffna Public Library,Jami Ul-Alfar Mosque,Japanese Peace Pagoda - Rumassala,Jaya Sri Maha Bodhi,Jungle Beach,Kabalana Beach,Kalametiya Eco Bird Watching,Kalutara Bodhiya,Kande Viharaya Temple,Kandy Lake,Kandy View Point,Kanniya Hot Springs,Kataragama Temple,Kaudulla National Park,Keerimalai Hot springs,Kelaniya Raja Maha Vihara,Kiri Vehera,Kirinda Viharaya,Knuckles Mountain Range,Koggala Lake,Kosgoda Sea Turtle Conservation Project,Kumana National Park,Laxapana Falls,Lipton’s Seat,Little Adam's Peak View Point,Lovamahapaya Brazen Palace,Lover's Leap Falls,Lunugamvehera National Park,Madu River Safari by Buddhi,Maduru Oya National Park,Maha Saman Dewalaya,Maligawila Buddha Statue,Marble Beach,Matara Paravi Duwa Temple,Mihintale,Minneriya National Park,Mirissa Beach,Moon Plains,Moonstone or Sandakada pahana,Mount Lavinia Beach,Mulgirigala Raja Maha Vihara,Muthurajawela Marsh,Nagadipa Purana Vihara,Nalanda Gedige,Nallur Kandaswamy Kovil Festival,Negombo Beach,Negombo Fish Market,Nilavarai Bottomless Well,Nilaveli Beach,Nine Arches Bridge,Old Parliament Building,Pasikudah Beach,Pedro Tea Factory,Pettah Floating Market,Pidurangala Rock,Pidurutalagala,Pinnawala Elephant Orphanage,Pitawala Pathana,Polhena Beach,Polonnaruwa Vatadage,Popham's Arboretum,Rankoth Vehera,Ravana Ella Falls,Richmond Castle,Ridee Viharaya (silver Temple),Ritigala Forest Monastery,Royal Botanical Gardens,Ruwanweli Maha Seya,Samadhi Statue,Samudra Parakrama,Sea Turtle Conservation Project (Koggala),Sea Turtle Farm Galle Mahamodara,Seema Malakaya Temple,Seenigama Muhudu Viharaya,Seruwila Mangala Raja Maha Vihara,Sigiriya Lion Rock,Single Tree Hill,Sinharaja Forest Reserve,Sithulpawwa Rock Temple,Somawathiya Chaitya,Sri Pada / Adam's Peak,St Benedict's Monastery - Adisham,St Clair's Falls,St Lucia's Cathedral,St. Mary's Church,Statue of Parakramabahu I,Temple of the Sacred Tooth Relic,Trincomalee Beach,Trincomalee War Cemetery,Turtle Conservation Project Turtle Watch,Twin Baths (Kuttam Pokuna),Udawalawe National Park,Unawatuna Beach,Uppuveli Beach,Victoria Park of Nuwara Eliya,Viharamahadevi Park,Visit Kanneliya Rain Forest,Wasgamuwa National Park,Weherahena Buddhist Temple,Weligama Beach,Wewurukannala Vihara,Whale Watching in Mirissa,Wilpattu National Park,Wolvendaal Church,Yala National Park,Yapahuwa Rock Fortress
Little Adam's Peak View Point,121.19,237.34,61.95,119.44,165.78,232.22,135.33,136.48,70.78,46.67,170.12,193.15,212.46,26.83,128.15,186.08,38.26,433.32,143.15,178.59,201.81,196.37,235.8,170.01,190.88,9.45,86.05,41.94,196.15,167.19,26.63,201.4,365.16,102.23,5.39,122.37,279.76,131.54,169.61,201.4,198.73,198.15,201.65,58.85,197.55,115.8,142.82,57.23,50.95,185.33,195.37,221.82,153.2,51.11,149.75,195.21,195.8,234.87,413.55,413.15,207.89,199.91,235.43,180.6,187.11,131.65,187.33,211.63,135.79,136.07,275.48,96.22,205.43,430.78,199.71,169.36,102.98,150.47,187.19,243.61,179.08,124.19,27.66,0.0,235.17,62.06,66.32,234.37,112.94,116.35,62.53,269.07,170.81,228.86,205.78,179.32,58.34,231.56,191.19,137.12,223.67,446.58,168.09,410.91,235.81,233.74,412.66,286.91,1.92,199.63,179.77,62.71,202.24,190.03,70.38,150.27,139.53,173.04,166.9,165.63,168.19,0.61,190.65,182.75,212.21,126.95,236.62,236.31,170.34,191.51,202.09,197.67,223.42,240.92,187.3,59.7,137.68,107.15,199.01,113.32,27.6,82.76,206.99,207.1,166.76,134.96,278.5,278.14,140.16,235.86,102.97,200.79,277.62,59.54,197.49,215.11,144.79,163.89,178.63,151.2,174.71,298.47,207.09,124.65,229.26
Lovamahapaya Brazen Palace,198.14,4.0,218.3,161.86,103.34,171.28,310.06,137.02,270.33,272.73,199.91,199.7,265.46,217.58,222.22,257.42,270.65,215.0,143.84,336.35,194.12,196.09,2.22,67.61,201.11,228.47,200.92,274.33,199.54,349.57,210.92,311.9,146.85,297.35,237.78,149.93,110.88,257.3,102.3,311.9,195.94,197.25,312.15,209.48,195.33,232.88,370.85,210.56,216.83,319.62,169.68,301.1,360.93,236.88,363.76,62.24,196.14,1.36,195.24,194.84,193.29,310.41,1.31,332.75,322.93,392.31,241.54,264.63,137.49,137.21,99.78,306.15,87.73,212.47,198.01,102.04,335.38,158.18,321.48,274.15,353.81,205.9,253.72,236.88,0.0,210.64,298.71,290.0,173.02,237.55,261.39,118.52,340.71,15.77,72.81,335.4,214.42,4.95,204.63,367.51,172.33,228.27,90.63,192.6,167.54,171.69,194.35,113.2,236.75,194.86,173.88,211.16,193.8,71.1,218.83,138.42,131.33,342.93,102.55,69.53,102.96,236.51,244.85,115.62,56.41,141.35,1.97,3.43,110.19,321.5,312.59,195.58,299.55,143.5,71.9,209.18,279.54,317.08,126.14,222.6,253.66,206.53,192.38,192.5,103.68,136.8,107.27,106.88,379.95,5.32,315.41,311.29,107.61,208.28,195.06,317.65,94.77,346.28,330.78,362.69,344.6,63.13,192.49,334.58,72.26
Lover's Leap Falls,66.27,212.8,13.16,62.31,180.66,160.51,187.21,75.1,94.65,52.99,190.01,156.93,212.48,56.17,144.05,204.44,95.81,408.78,77.52,236.13,158.91,160.73,211.26,143.97,162.07,61.89,31.13,76.98,155.65,224.74,62.07,258.95,340.62,138.09,62.94,65.23,255.22,170.65,184.49,258.95,163.0,161.05,259.2,3.14,159.26,74.38,200.36,4.84,11.11,242.88,143.9,248.12,210.74,31.74,207.3,170.67,160.04,210.33,389.01,388.61,160.34,257.46,210.89,238.15,244.65,189.2,188.56,211.65,76.43,76.15,250.94,153.77,196.15,406.24,152.16,184.24,160.53,115.47,244.74,221.17,230.97,69.27,62.9,62.03,210.63,0.0,123.87,237.02,127.82,140.23,120.08,251.43,228.36,204.32,181.24,236.87,8.7,207.02,163.1,194.66,157.55,422.04,122.81,386.37,164.9,162.83,388.12,262.37,61.9,161.91,199.66,2.85,159.12,165.49,10.52,93.14,128.36,230.59,181.78,146.77,183.07,61.66,191.87,116.86,187.67,69.81,212.08,211.77,185.22,249.05,259.64,159.5,246.57,260.81,162.76,4.45,161.55,164.7,213.89,71.9,46.45,27.85,159.44,159.55,181.64,76.17,253.97,253.6,197.71,211.32,160.51,258.34,253.08,3.54,158.51,264.67,159.67,221.44,236.18,208.75,232.25,275.38,159.54,182.2,163.38
Lunugamvehera National Park,159.36,299.17,123.78,181.28,230.85,289.35,142.5,198.31,112.96,88.85,211.49,252.04,203.21,88.67,133.05,202.26,35.98,495.15,204.98,128.32,258.94,253.51,297.63,231.84,248.02,71.29,147.88,49.72,253.28,116.92,88.46,151.14,427.0,51.96,60.93,184.2,325.38,149.99,234.68,151.14,255.87,255.29,151.38,120.68,254.69,157.98,92.55,119.06,112.78,135.07,200.26,171.55,102.93,112.6,99.49,257.04,252.94,296.7,475.38,474.99,265.03,149.64,297.26,130.33,136.84,81.38,215.85,202.37,197.62,197.9,324.51,47.6,270.5,492.61,256.84,234.43,52.71,212.31,136.92,193.34,186.25,158.93,93.77,66.32,297.01,123.89,0.0,184.1,174.78,121.25,69.7,310.43,120.55,290.69,270.71,129.05,120.18,293.39,248.33,86.85,280.8,508.41,229.93,472.75,292.95,290.87,474.49,334.81,66.19,256.77,221.14,124.54,259.37,251.87,132.21,223.85,201.37,122.77,231.97,227.47,233.26,65.95,215.95,256.36,274.04,188.78,298.46,298.14,235.41,141.24,151.82,254.81,173.16,282.29,249.14,121.54,112.81,62.78,264.08,155.5,82.34,144.6,264.12,264.23,231.83,196.79,324.13,323.76,89.9,297.7,52.7,150.53,323.24,121.37,258.03,164.85,206.62,113.63,128.36,100.93,124.44,360.31,264.22,80.28,293.82
Madu River Safari by Buddhi,179.65,294.35,239.14,200.66,301.9,133.88,310.67,199.85,202.98,205.18,379.66,96.57,19.29,256.84,124.89,25.87,204.15,498.91,202.26,75.24,103.47,98.04,292.57,234.59,92.55,239.46,207.2,217.9,97.81,88.46,256.63,37.45,430.76,156.15,229.1,195.03,345.35,318.16,300.86,37.45,100.4,99.82,37.7,235.32,99.22,226.43,109.73,234.7,240.97,58.51,116.69,18.51,99.81,246.96,102.64,260.81,97.47,290.05,479.15,478.75,109.55,41.96,291.12,71.63,54.49,131.19,37.78,22.01,201.18,200.9,341.08,182.41,286.29,496.38,101.37,300.61,187.53,240.21,60.36,10.08,354.42,186.08,228.13,234.49,290.87,237.0,184.23,0.0,371.59,130.86,237.88,341.57,79.59,294.46,271.38,74.28,238.56,297.15,68.77,106.39,125.33,512.17,230.3,476.51,137.47,135.4,478.25,352.51,234.36,101.3,372.45,237.65,103.9,255.63,245.32,172.17,256.55,81.82,301.12,238.77,301.52,234.12,40.7,197.29,277.8,194.56,292.32,293.78,308.75,53.05,36.08,99.33,15.85,358.44,252.9,234.07,111.86,197.59,324.7,216.14,216.7,211.48,108.65,108.76,302.24,200.92,344.1,343.73,118.83,287.87,174.21,42.84,343.22,233.9,102.56,56.54,264.0,85.16,69.67,101.58,83.48,344.95,108.75,215.1,234.75
Maduru Oya National Park,178.95,175.15,138.78,142.66,69.93,268.5,184.99,117.02,175.33,151.22,110.86,295.39,346.37,96.08,232.71,338.33,145.79,371.13,123.69,286.12,289.81,291.78,173.61,138.34,296.8,106.96,156.75,150.08,289.51,274.72,89.41,308.94,302.98,209.76,116.28,130.73,179.13,139.55,73.76,308.94,291.63,292.94,309.18,128.77,291.02,200.0,250.35,130.46,136.89,292.87,264.8,329.35,260.73,155.63,257.29,116.01,291.83,172.68,351.36,350.97,288.98,307.44,173.24,288.13,294.64,239.18,322.44,345.54,116.33,116.61,174.86,171.42,109.58,368.59,278.91,73.5,194.66,119.29,294.72,355.06,228.74,186.71,132.21,115.37,172.99,127.82,173.85,370.9,0.0,220.91,126.66,175.35,278.35,166.67,109.78,286.85,131.86,169.37,300.32,244.65,268.02,384.39,161.36,348.73,272.89,270.82,350.47,186.28,115.24,290.55,103.34,125.54,289.49,122.56,126.26,155.95,121.52,280.57,71.04,140.27,72.33,115.01,325.76,186.35,133.0,122.15,174.44,174.12,74.49,299.04,309.62,291.27,330.96,116.33,123.36,130.07,242.23,182.35,103.16,197.53,132.16,153.47,288.07,288.18,70.91,115.5,177.88,177.51,247.7,173.68,210.5,308.33,177.0,129.16,290.75,322.64,115.2,271.43,286.16,258.73,282.24,236.29,288.18,199.86,190.06
Maha Saman Dewalaya,101.87,241.65,140.22,132.45,249.2,125.35,227.65,139.76,82.25,84.45,285.58,86.29,105.59,135.3,21.29,97.55,130.58,446.22,142.18,163.96,94.95,89.51,239.87,181.89,84.01,117.92,129.42,108.92,89.28,152.57,135.09,152.03,378.07,69.93,117.37,134.94,292.66,235.14,248.16,152.03,91.86,91.28,152.28,137.12,90.68,123.59,128.19,135.5,129.22,159.76,88.5,141.23,138.57,126.23,135.13,208.11,88.93,237.36,426.45,426.05,101.03,150.54,238.42,172.88,163.07,117.03,80.47,104.76,141.09,140.82,288.38,140.98,233.6,443.68,92.84,247.91,146.1,180.13,161.61,114.29,271.4,81.33,107.4,116.46,238.17,140.33,121.24,130.13,221.41,0.0,154.85,288.87,156.19,241.76,218.68,164.7,136.61,244.46,84.32,108.03,116.8,459.48,177.6,423.82,128.95,126.87,425.56,299.81,116.33,92.76,295.24,140.98,95.37,202.94,148.65,112.09,203.85,158.42,248.42,186.07,248.82,116.09,83.78,144.6,225.11,134.48,239.62,241.08,256.06,161.63,152.72,90.8,139.68,305.75,200.21,137.97,62.84,156.16,272.01,121.12,95.97,133.7,100.12,100.23,249.55,140.84,291.41,291.04,125.54,235.18,87.99,151.42,290.52,137.81,90.62,100.46,211.31,149.27,170.92,136.58,160.08,294.07,100.22,173.67,182.06
Maligawila Buddha Statue,155.58,264.26,120.0,177.49,183.67,270.62,95.31,185.69,109.17,85.07,164.3,231.55,256.85,84.88,166.55,255.91,41.64,460.24,192.36,181.97,240.21,234.77,262.73,196.94,229.27,67.5,144.1,45.93,234.54,170.57,75.84,204.79,392.09,105.61,57.14,180.41,278.19,102.8,187.5,204.79,237.13,236.55,205.03,116.9,235.95,154.19,146.2,115.28,109.0,188.72,233.77,225.2,156.58,108.81,153.14,229.74,234.19,261.79,440.48,440.08,246.29,203.29,262.35,183.98,190.49,135.03,269.5,256.02,185.0,185.28,277.32,65.28,223.32,457.71,238.1,187.24,88.52,177.4,190.57,246.99,139.06,155.14,89.98,62.53,262.1,120.1,69.7,237.75,169.01,154.75,0.0,263.25,174.2,255.79,223.52,182.7,116.39,258.48,229.58,140.5,262.06,473.5,195.02,437.84,274.21,272.14,439.58,287.62,62.4,238.02,173.95,120.76,240.63,216.96,128.42,224.62,166.46,176.42,184.78,192.56,186.07,62.16,269.59,231.96,246.74,190.82,263.55,263.24,188.23,194.89,205.47,236.06,226.81,235.1,214.23,117.75,166.46,76.21,216.9,151.72,78.55,140.81,245.38,245.5,184.65,184.17,276.94,276.57,143.55,262.79,106.35,204.18,276.05,117.58,235.89,218.49,171.72,167.28,182.01,154.58,178.09,325.4,245.49,93.71,278.48
Marble Beach,238.93,117.59,259.08,202.64,105.7,238.55,234.51,177.8,311.11,314.36,124.37,265.44,316.42,258.37,273.18,308.38,282.01,264.71,184.63,387.31,259.86,261.83,116.05,108.39,266.85,269.25,241.7,286.3,259.56,400.53,251.7,362.86,196.56,348.3,273.08,190.71,19.61,210.94,104.66,362.86,261.68,262.99,363.1,250.26,261.07,273.66,421.81,251.34,257.61,370.58,234.85,352.06,411.88,277.66,414.71,80.8,261.87,118.22,244.95,244.55,259.03,361.36,118.78,383.71,373.89,443.26,292.49,315.58,178.27,178.0,18.75,307.64,81.02,262.17,248.96,104.4,330.88,198.97,372.43,325.11,278.26,246.69,295.35,268.69,118.53,251.43,310.07,340.95,175.38,288.5,262.88,0.0,391.66,102.76,96.56,386.35,255.2,119.21,270.37,418.46,238.07,277.97,131.41,242.31,242.94,240.87,244.05,29.04,268.74,260.6,98.34,251.94,259.54,94.85,259.61,184.83,172.11,393.89,104.91,110.32,105.32,268.41,295.81,156.4,103.05,182.13,116.34,116.56,112.55,372.45,363.54,261.32,350.5,29.65,95.65,249.96,330.5,318.57,106.73,263.38,295.29,247.32,258.12,258.23,106.04,177.58,18.36,17.99,430.91,119.79,366.36,362.25,17.48,249.06,260.79,368.61,135.56,397.24,381.74,413.65,395.56,178.51,258.22,336.07,160.11
Matara Paravi Duwa Temple,227.65,342.35,226.49,248.66,349.9,181.88,245.21,247.85,164.3,166.5,314.19,144.57,95.74,191.38,172.89,94.79,138.69,546.91,250.26,8.02,151.47,146.04,340.57,282.59,140.55,174.0,202.25,152.43,145.81,8.87,191.17,43.67,478.76,90.69,163.64,243.03,393.35,252.7,348.86,43.67,148.4,147.82,43.91,223.39,147.22,205.65,35.59,221.77,215.49,27.6,164.69,64.09,23.61,215.31,28.74,308.81,145.47,338.05,527.15,526.75,157.56,42.17,339.12,17.6,24.55,65.72,108.38,94.9,249.18,248.9,389.08,116.95,334.29,544.38,149.37,348.61,122.07,288.22,29.45,85.87,288.96,234.08,196.47,169.03,338.87,226.6,118.76,76.63,277.49,154.19,172.41,389.57,0.0,342.46,319.38,8.75,222.88,345.15,140.86,40.92,173.33,560.17,278.3,524.51,185.48,183.4,526.25,400.51,168.89,149.3,323.84,227.25,151.9,303.63,234.92,220.17,304.55,2.47,349.12,286.77,349.52,168.66,108.48,245.3,325.8,242.56,340.32,341.78,356.75,28.48,44.35,147.34,65.69,406.44,300.9,224.25,145.75,132.13,372.71,203.17,185.05,206.53,156.65,156.76,350.24,248.92,392.1,391.73,53.37,335.87,108.74,43.06,391.22,224.08,150.56,50.57,312.01,5.57,15.45,25.37,4.14,392.96,156.75,149.63,282.76
Mihintale,191.81,14.83,211.96,155.53,97.0,191.43,303.73,130.69,264.0,266.4,193.58,218.33,269.3,211.25,226.06,261.26,264.32,204.62,137.51,340.2,212.75,214.72,13.29,61.28,219.74,222.14,194.59,268.0,212.44,353.42,204.59,315.74,136.47,301.19,231.45,143.6,95.11,250.97,95.96,315.74,214.57,215.88,315.99,203.15,213.96,226.55,374.69,204.23,210.5,323.46,187.73,304.94,364.77,230.54,367.6,55.91,214.76,15.46,184.85,184.46,211.91,314.25,16.02,336.59,326.78,396.15,245.38,268.47,131.16,130.88,84.01,299.82,81.4,202.08,201.85,95.71,329.04,151.85,325.32,277.99,347.48,199.57,247.39,230.55,15.77,204.31,292.38,293.84,166.69,241.39,255.06,102.75,344.55,0.0,66.48,339.24,208.08,16.45,223.25,371.35,190.96,217.88,84.29,182.22,195.83,193.75,183.96,97.42,230.42,213.48,167.55,204.83,212.43,64.77,212.49,137.72,125.0,346.78,96.22,63.2,96.62,230.18,248.69,109.29,50.07,135.01,13.58,13.8,103.86,325.34,316.43,214.2,303.39,127.72,65.56,202.85,283.38,310.75,119.81,216.26,247.33,200.2,211.01,211.12,97.35,130.47,91.5,91.11,383.79,17.03,319.25,315.13,91.84,201.94,213.68,321.5,88.44,350.12,334.62,366.53,348.44,75.75,211.11,328.25,86.19
Minneriya National Park,168.71,74.98,188.86,132.42,40.13,168.33,246.86,107.58,240.89,243.29,136.71,195.22,246.2,188.15,202.96,238.16,242.7,270.96,114.41,317.09,189.64,191.61,73.44,38.17,196.63,199.03,171.48,244.9,189.34,330.31,181.48,292.64,202.81,278.08,208.35,120.49,100.38,194.09,39.09,292.64,191.46,192.77,292.88,180.04,190.85,203.44,351.59,181.13,187.39,300.36,164.63,281.84,341.66,207.44,344.49,15.83,191.65,72.51,251.19,250.79,188.81,291.14,73.07,313.49,303.67,373.04,222.27,245.36,108.05,107.78,96.11,268.33,33.9,268.42,178.74,38.84,291.57,128.75,302.21,254.89,290.61,176.47,224.28,207.44,72.82,181.21,270.76,270.73,109.82,218.28,223.57,96.6,321.44,66.5,0.0,316.13,184.98,69.2,200.15,348.24,167.85,284.22,61.19,248.56,172.72,170.65,250.3,107.53,207.31,190.38,110.68,181.72,189.32,22.39,189.39,114.61,101.89,323.67,39.35,40.1,39.75,207.07,225.59,86.18,32.83,111.91,74.27,73.95,46.99,302.23,293.32,191.1,280.28,113.47,23.19,179.74,260.28,279.26,62.94,193.16,224.23,177.1,187.9,188.01,40.48,107.36,99.13,98.76,360.69,73.51,296.14,292.03,98.24,178.84,190.57,298.39,65.34,327.02,311.52,343.43,325.34,136.12,188.0,296.76,89.89
Mirissa Beach,225.23,339.93,234.79,246.24,347.48,179.46,253.5,245.43,172.59,174.79,322.49,142.15,93.31,199.67,170.47,92.37,146.98,544.49,247.84,0.96,149.05,143.62,338.15,280.17,138.13,182.29,210.55,160.72,143.39,17.45,199.46,34.41,476.34,98.98,171.93,240.61,390.93,260.99,346.44,34.41,145.98,145.4,34.66,231.69,144.8,213.94,44.18,230.07,223.79,20.06,162.27,51.8,32.2,223.6,37.33,306.39,143.05,335.63,524.73,524.33,155.13,31.78,336.7,8.85,15.8,74.02,105.96,92.48,246.76,246.48,386.66,125.24,331.87,541.96,146.95,346.19,130.36,285.79,21.71,83.45,297.25,231.66,204.77,177.32,336.45,234.89,127.05,74.21,285.78,162.48,180.7,387.15,8.59,340.04,316.96,0.0,231.18,342.73,138.44,49.22,170.91,557.75,275.88,522.09,183.05,180.98,523.83,398.09,177.19,146.88,332.14,235.55,149.48,301.21,243.21,217.75,302.13,8.58,346.7,284.35,347.1,176.95,106.05,242.87,323.38,240.14,337.9,339.36,354.33,19.73,35.1,144.91,54.68,404.02,298.48,232.54,157.44,140.42,370.28,211.47,193.34,214.83,154.23,154.34,347.82,246.5,389.68,389.31,61.66,333.45,117.04,29.42,388.8,232.37,148.14,54.56,309.58,14.16,6.7,33.96,6.64,390.54,154.33,157.92,280.33
Moon Plains,67.83,216.57,11.48,66.08,184.7,162.06,183.5,78.87,90.93,66.82,194.04,158.49,214.04,52.45,145.61,205.99,92.09,412.55,81.29,232.42,160.46,162.29,215.03,147.74,163.63,58.17,32.69,73.26,157.2,221.02,58.35,255.23,344.4,134.37,59.22,69.01,258.99,175.86,188.53,255.23,164.55,162.61,255.48,4.88,160.81,75.94,196.65,3.87,7.39,239.16,145.45,249.67,207.03,30.74,203.58,174.44,161.59,214.1,392.78,392.38,161.9,253.74,214.66,234.43,240.94,185.48,190.11,213.2,80.2,79.93,254.71,150.05,199.93,410.01,153.71,188.28,156.81,119.24,241.02,222.73,227.25,70.83,59.18,58.32,214.41,8.7,120.15,238.57,131.86,136.51,116.36,255.21,224.65,208.09,185.01,233.15,0.0,210.79,164.66,190.95,159.1,425.81,126.58,390.15,166.46,164.38,391.89,266.14,58.18,163.47,203.69,6.89,160.68,169.27,14.55,96.91,132.13,226.87,185.81,150.54,187.1,57.95,193.43,120.64,191.44,73.59,215.86,215.54,189.26,245.34,255.92,161.06,248.12,264.84,166.54,6.34,157.83,160.98,217.93,73.46,42.73,29.4,160.99,161.1,185.68,79.95,257.74,257.37,193.99,215.1,156.8,254.62,256.85,6.18,160.06,266.23,163.7,217.73,232.46,205.03,228.54,279.15,161.1,178.48,167.15
Moonstone or Sandakada pahana,194.54,8.45,214.69,158.26,99.73,172.6,306.46,133.42,266.73,269.13,196.31,201.02,272.03,213.98,228.79,263.99,267.05,215.76,140.24,342.92,195.44,197.41,6.67,64.01,202.43,224.86,197.32,270.73,215.17,356.14,207.31,318.47,147.61,303.92,234.18,146.32,111.63,253.69,98.69,318.47,197.26,198.57,318.71,205.88,196.66,229.28,377.42,206.96,213.22,326.19,171.01,307.67,367.5,233.27,370.32,58.64,197.46,4.66,195.99,195.6,194.61,316.98,5.22,339.32,329.5,398.88,248.11,271.2,133.89,133.61,100.54,302.54,84.12,213.22,204.57,98.44,331.77,154.58,328.05,280.72,350.21,202.3,250.12,233.28,4.97,207.04,295.11,296.57,169.42,244.12,257.79,119.27,347.28,16.53,69.21,341.97,210.81,0.0,205.95,374.08,173.65,229.02,87.02,193.36,168.86,173.01,195.1,113.95,233.14,196.18,170.28,207.56,195.12,67.49,215.22,139.74,127.73,349.5,98.95,65.93,99.35,232.91,251.42,112.02,52.8,137.74,6.42,7.91,106.58,328.06,319.16,196.9,306.12,144.25,68.29,205.57,286.11,313.48,122.54,218.99,250.06,202.93,193.7,193.82,100.07,133.19,108.03,107.64,386.52,3.49,321.98,317.86,108.37,204.67,196.38,324.22,91.17,352.85,337.35,369.26,351.17,68.27,193.81,330.98,73.58
Mount Lavinia Beach,105.56,208.04,165.05,125.28,226.52,46.46,302.19,124.47,156.79,158.99,323.09,9.86,49.58,209.84,78.7,60.46,205.12,423.53,126.88,139.4,12.4,9.26,206.26,159.2,3.71,192.46,133.12,183.46,10.5,152.62,209.64,114.94,355.38,144.47,191.91,119.64,269.97,309.68,225.48,114.94,10.49,9.92,115.19,161.23,10.17,152.34,173.89,160.62,166.88,122.67,40.0,104.14,163.97,183.63,166.8,185.42,9.01,203.75,403.76,403.37,13.11,113.45,204.81,135.79,125.98,195.35,31.01,47.87,125.8,125.52,265.69,246.57,210.91,420.99,20.13,225.22,251.69,164.83,124.52,58.71,345.94,111.99,181.94,191.0,204.56,162.91,248.39,68.78,296.2,84.67,229.39,266.19,143.75,219.07,195.99,138.44,164.47,205.91,0.0,170.55,37.91,436.79,154.91,401.13,50.06,47.98,402.87,277.12,190.87,11.39,297.06,163.56,13.3,180.25,171.23,96.79,181.17,145.98,225.73,163.38,226.14,190.64,34.32,121.91,202.42,119.18,206.01,207.47,233.37,124.54,115.63,10.29,102.59,283.06,177.52,159.98,120.68,261.75,249.32,142.05,170.51,137.4,15.0,14.28,226.86,125.54,268.72,268.35,183.0,201.57,162.53,114.33,267.83,159.81,10.59,120.7,188.62,149.32,133.83,165.74,147.64,257.54,13.87,279.26,148.45
Mulgirigala Raja Maha Vihara,160.8,371.97,194.47,197.55,301.54,211.5,213.18,277.47,118.07,120.27,282.17,174.19,125.36,159.35,119.76,124.41,106.66,576.53,279.88,50.47,181.09,175.66,370.19,312.21,170.17,141.97,156.02,120.41,175.43,38.52,159.15,73.29,508.38,44.45,131.62,272.65,422.97,220.68,305.37,73.29,178.02,177.44,73.53,191.37,176.84,159.42,18.68,189.75,183.47,57.22,194.31,93.7,24.11,183.28,20.67,338.43,175.09,367.67,556.77,556.37,187.17,71.79,368.74,52.48,58.99,33.69,138.0,124.52,278.8,278.52,418.7,84.92,363.91,574.0,178.99,305.12,90.04,317.83,59.07,115.49,256.93,160.37,164.45,137.0,368.49,194.58,86.74,106.25,245.46,107.95,140.39,419.19,42.7,372.08,349.0,51.2,190.86,374.77,170.48,0.0,202.95,589.79,307.92,554.13,215.09,213.02,555.87,430.13,136.87,178.92,291.82,195.23,181.52,333.25,202.9,249.79,272.05,44.92,302.66,316.39,303.94,136.64,138.1,274.92,355.42,272.18,369.94,371.4,306.1,63.39,73.97,176.96,95.31,352.97,330.52,192.22,103.05,100.11,334.77,156.94,153.03,160.3,186.27,186.38,302.52,278.54,421.72,421.35,26.43,365.49,62.51,72.68,420.84,192.06,180.18,86.99,277.31,35.78,50.51,22.11,46.59,422.58,186.37,117.61,312.37
