place_name,Beach_mentions,Sandy beach_mentions,Rocky beach_mentions,Sea_mentions,Waves_mentions,Lagoon_mentions,Lake_mentions,River_mentions,Waterfall_mentions,Coral reef_mentions,Mountain_mentions,Rock formation_mentions,Cave_mentions,Forest_mentions,Tea plantation_mentions,Viewpoint_mentions,Scenic view_mentions,Sunset view_mentions,Sunrise view_mentions,Wildlife_mentions,Elephants_mentions,Turtles_mentions,Whales_mentions,Dolphins_mentions,Birds_mentions,Leopards_mentions,Temple_mentions,Stupa_mentions,Buddha statue_mentions,Murals_mentions,Paintings_mentions,Sculptures_mentions,Cave temple_mentions,Ancient ruins_mentions,Fortress_mentions,Fort_mentions,Colonial architecture_mentions,Museum_mentions,Lighthouse_mentions,Church_mentions,Mosque_mentions,Hindu shrine_mentions,Heritage site_mentions,Entrance fee_mentions,Ticket price_mentions,Parking_mentions,Toilets_mentions,Changing rooms_mentions,Restaurants_mentions,Cafes_mentions,Shops_mentions,Market_mentions,Souvenir stalls_mentions,Accommodation_mentions,Guided tours_mentions,Local guide_mentions,Signage_mentions,Information boards_mentions,Road access_mentions,Public transport access_mentions,Stairs_mentions,Trail_mentions,Bridge_mentions,Boat service_mentions,Crowdedness_mentions,Cleanliness_mentions,Safety_mentions,Accessibility_mentions,Family friendliness_mentions,Peacefulness_mentions,Noise level_mentions,Service quality_mentions,Value for money_mentions,Food quality_mentions,Water clarity_mentions,Water depth_mentions,Strong current_mentions,Leeches_mentions,Weather condition_mentions,Beach_sentiment_score,Sandy beach_sentiment_score,Rocky beach_sentiment_score,Sea_sentiment_score,Waves_sentiment_score,Lagoon_sentiment_score,Lake_sentiment_score,River_sentiment_score,Waterfall_sentiment_score,Coral reef_sentiment_score,Mountain_sentiment_score,Rock formation_sentiment_score,Cave_sentiment_score,Forest_sentiment_score,Tea plantation_sentiment_score,Viewpoint_sentiment_score,Scenic view_sentiment_score,Sunset view_sentiment_score,Sunrise view_sentiment_score,Wildlife_sentiment_score,Elephants_sentiment_score,Turtles_sentiment_score,Whales_sentiment_score,Dolphins_sentiment_score,Birds_sentiment_score,Leopards_sentiment_score,Temple_sentiment_score,Stupa_sentiment_score,Buddha statue_sentiment_score,Murals_sentiment_score,Paintings_sentiment_score,Sculptures_sentiment_score,Cave temple_sentiment_score,Ancient ruins_sentiment_score,Fortress_sentiment_score,Fort_sentiment_score,Colonial architecture_sentiment_score,Museum_sentiment_score,Lighthouse_sentiment_score,Church_sentiment_score,Mosque_sentiment_score,Hindu shrine_sentiment_score,Heritage site_sentiment_score,Entrance fee_sentiment_score,Ticket price_sentiment_score,Parking_sentiment_score,Toilets_sentiment_score,Changing rooms_sentiment_score,Restaurants_sentiment_score,Cafes_sentiment_score,Shops_sentiment_score,Market_sentiment_score,Souvenir stalls_sentiment_score,Accommodation_sentiment_score,Guided tours_sentiment_score,Local guide_sentiment_score,Signage_sentiment_score,Information boards_sentiment_score,Road access_sentiment_score,Public transport access_sentiment_score,Stairs_sentiment_score,Trail_sentiment_score,Bridge_sentiment_score,Boat service_sentiment_score,Crowdedness_sentiment_score,Cleanliness_sentiment_score,Safety_sentiment_score,Accessibility_sentiment_score,Family friendliness_sentiment_score,Peacefulness_sentiment_score,Noise level_sentiment_score,Service quality_sentiment_score,Value for money_sentiment_score,Food quality_sentiment_score,Water clarity_sentiment_score,Water depth_sentiment_score,Strong current_sentiment_score,Leeches_sentiment_score,Weather condition_sentiment_score
Devon Falls,0,0,0,0,0,0,5,3,146,0,16,1,0,2,12,35,103,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,4,8,1,0,11,2,6,0,0,4,0,1,2,0,74,7,4,9,0,0,1,1,2,1,4,5,1,0,2,9,0,0,0,0,19,,,,,,,0.6,0.0,0.6027,,0.8125,1.0,,0.5,0.5,0.4286,0.699,1.0,,,,,,,,,0.25,,,,1.0,,,,,0.0,,,,,,1.0,1.0,,0.5,0.25,1.0,,0.6364,0.0,0.0,,,0.0,,1.0,0.5,,0.4595,0.4286,-0.25,-0.2222,,,-1.0,1.0,0.0,1.0,0.25,1.0,-1.0,,0.0,0.7778,,,,,-0.6842
Diyaluma Falls,0,0,0,0,1,0,1,5,150,0,16,26,0,8,1,1,61,2,1,1,7,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,2,5,12,7,3,0,3,0,8,0,5,3,1,46,3,0,55,33,10,24,7,0,13,7,18,5,17,8,0,7,7,8,0,3,1,5,25,,,,,1.0,,0.0,0.0,0.6933,,0.3125,0.2308,,0.5,0.0,1.0,0.8033,0.5,1.0,0.0,0.2857,,,,,1.0,1.0,,,,0.0,0.0,1.0,,,,,,,,,,0.5,0.4,0.1667,0.2857,0.0,,0.3333,,0.25,,0.0,0.0,-1.0,0.413,0.3333,,0.4182,0.3333,0.3,0.1667,0.4286,,-0.6154,-0.1429,0.2778,1.0,0.4706,1.0,,0.7143,0.7143,0.625,,0.3333,0.0,-1.0,-0.8
Diyatha Uyana,1,1,0,1,0,0,41,5,1,0,0,0,0,1,0,0,24,4,0,2,0,1,0,0,8,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,9,23,3,0,23,1,17,26,24,7,0,0,3,0,6,5,1,34,1,10,38,19,2,4,67,11,0,6,12,86,0,0,0,0,8,0.0,0.0,,-1.0,,,0.6098,0.2,-1.0,,,,,1.0,,,0.7083,0.5,,0.5,,0.0,,,0.625,,,,,,0.6667,,,,,1.0,,,,,,,,0.5,0.8889,0.2174,1.0,,0.5217,0.0,0.5882,0.6923,0.125,0.2857,,,-0.3333,,0.1667,0.2,0.0,0.4706,1.0,0.3,-0.7368,0.8947,0.0,1.0,0.6119,1.0,,0.1667,0.6667,0.4535,,,,,-0.625
Dondra Head Lighthouse,32,0,1,29,5,2,0,1,0,0,0,5,0,0,0,3,59,2,0,0,1,0,3,0,0,0,6,0,1,0,3,2,0,0,1,1,3,0,84,0,0,2,0,11,12,3,1,0,1,1,2,0,2,0,0,2,6,0,2,10,12,0,0,4,6,11,5,1,4,14,0,6,7,1,0,1,3,0,5,0.4688,,1.0,0.6207,0.8,1.0,,0.0,,,,1.0,,,,0.3333,0.8136,0.0,,,0.0,,1.0,,,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.3333,,0.5952,,,0.5,,0.3636,0.25,0.0,1.0,,-1.0,-1.0,1.0,,-0.5,,,-0.5,0.3333,,0.5,0.1,0.4167,,,0.75,-1.0,0.8182,0.0,1.0,0.0,1.0,,0.0,0.7143,1.0,,0.0,0.0,,0.6
Dunhinda Falls,0,0,0,0,0,0,2,9,84,0,10,3,0,11,1,6,28,0,0,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,12,0,12,0,0,3,0,0,31,10,14,32,2,0,7,3,17,2,7,3,0,4,2,11,0,1,0,0,23,,,,,,,0.5,0.0,0.7024,,0.3,0.6667,,0.9091,0.0,0.0,0.5357,,,0.0,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,0.5,0.25,,,,,,0.1667,,-0.0833,,,0.3333,,,0.0,0.4,0.1429,0.2188,0.0,,-0.8571,-0.3333,-0.2941,1.0,-0.2857,1.0,,1.0,1.0,0.0,,0.0,,,-0.7826
Dutch Hospital Shopping Precinct,5,1,0,53,3,0,0,0,1,0,0,3,0,0,0,0,71,7,0,0,2,1,0,0,0,0,0,1,0,1,2,0,0,1,0,105,58,6,6,0,0,0,21,3,65,8,25,0,424,115,438,14,74,41,2,3,2,0,7,31,6,2,0,0,52,48,4,8,18,20,9,36,135,188,0,0,1,0,18,0.2,-1.0,,0.6038,1.0,,,,0.0,,,1.0,,,,,0.831,0.7143,,,0.5,1.0,,,,,,1.0,,0.0,0.0,,,0.0,,0.4952,0.4138,0.3333,0.3333,,,,0.4762,0.3333,0.2769,0.25,0.92,,0.4717,0.4435,0.3995,0.5,0.4324,0.2195,0.5,0.3333,0.0,,0.2857,0.3548,0.5,1.0,,,-0.5577,0.875,1.0,1.0,0.6111,0.8,-1.0,0.5278,-0.7481,0.633,,,1.0,,-0.6111
Elephant Pass,2,1,0,9,0,11,4,0,0,0,1,0,0,1,0,0,15,7,6,0,45,0,0,0,5,0,1,0,0,0,0,11,0,0,0,3,0,2,0,0,0,1,2,0,2,1,6,0,1,3,0,0,0,1,0,4,2,0,25,5,2,3,6,0,3,6,1,4,0,2,0,0,2,4,0,0,0,0,4,1.0,1.0,,0.6667,,0.2727,0.5,,,,1.0,,,0.0,,,0.6667,0.1429,0.1667,,0.0889,,,,0.6,,1.0,,,,,0.2727,,,,0.0,,0.5,,,,1.0,0.5,,-1.0,-1.0,0.3333,,1.0,1.0,,,,0.0,,0.0,0.0,,0.4,0.2,0.0,1.0,0.3333,,-1.0,0.6667,0.0,0.5,,1.0,,,1.0,0.25,,,,,-1.0
Elephant Transit Home (ETH),2,0,0,0,2,0,3,0,0,0,0,0,0,13,0,0,40,1,0,123,462,2,0,0,6,2,0,0,0,0,1,2,0,0,0,0,1,33,0,0,0,0,0,25,60,1,3,0,1,0,13,1,6,5,3,26,18,1,8,2,5,3,0,0,34,5,11,5,54,11,13,41,43,34,0,2,0,0,6,0.5,,,,0.0,,0.3333,,,,,,,0.3077,,,0.5,0.0,,0.4146,0.526,0.0,,,0.3333,0.5,,,,,0.0,0.0,,,,,0.0,0.6667,,,,,,0.4,0.2667,0.0,0.3333,,0.0,,0.3077,0.0,0.1667,0.2,0.6667,0.1923,0.2222,0.0,0.625,0.0,0.2,0.0,,,-0.8235,0.2,0.2727,0.2,0.4074,0.8182,-1.0,0.2195,0.7674,0.0882,,0.5,,,-0.8333
Ella Rock,0,1,0,0,0,0,0,15,62,0,116,214,9,45,72,69,380,4,42,3,0,0,1,0,6,0,9,0,12,0,3,10,2,0,0,1,0,0,0,0,0,12,2,16,57,1,5,0,5,24,14,2,18,43,7,197,69,0,37,46,21,230,63,2,35,8,15,0,33,11,1,19,27,14,0,1,0,13,79,,-1.0,,,,,,0.0,0.3226,,0.4138,0.271,0.5556,0.1556,0.2917,0.2174,0.7368,0.25,0.4762,0.6667,,,1.0,,0.5,,0.5556,,0.3333,,0.0,-0.1,1.0,,,0.0,,,,,,0.5833,0.5,0.1875,0.2632,0.0,0.4,,0.2,0.25,0.1429,0.5,0.3889,0.3256,0.1429,0.203,0.1594,,0.2973,0.1739,0.2857,0.2435,0.1111,0.0,-0.6571,-0.75,0.0667,,0.3636,1.0,-1.0,0.5263,-0.3333,0.4286,,1.0,,-0.7692,-0.7215
Embekka Devalaya,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,26,0,1,1,1,36,0,1,0,0,0,0,0,0,0,8,3,4,5,2,1,0,0,0,0,0,0,0,0,2,1,0,7,5,0,1,0,0,3,1,0,0,0,5,0,1,1,1,0,0,0,0,1,,,,,,,1.0,,,,,,,,,,0.0,-0.5,,,,,,,,,0.6923,,0.0,1.0,1.0,0.6389,,-1.0,,,,,,,,0.375,0.0,0.25,0.2,1.0,1.0,,,,,,,,,0.0,0.0,,0.1429,0.2,,-1.0,,,-1.0,1.0,,,,1.0,,0.0,1.0,1.0,,,,,1.0
Fort Frederick,22,0,0,26,0,0,0,1,0,0,26,22,0,0,0,5,74,2,1,6,0,0,3,0,8,0,148,1,6,0,1,5,0,2,10,149,20,3,0,1,0,55,2,6,11,5,4,0,0,7,10,5,18,2,0,3,4,0,22,12,1,2,1,2,9,16,2,2,4,9,2,4,17,7,0,3,1,0,11,0.4091,,,0.5769,,,,0.0,,,0.3846,0.4545,,,,0.2,0.7027,1.0,0.0,0.1667,,,0.3333,,0.25,,0.4392,1.0,0.3333,,0.0,0.8,,0.5,0.4,0.4094,0.35,0.3333,,0.0,,0.4909,0.5,0.0,0.2727,0.2,0.0,,,0.5714,0.4,0.4,0.4444,0.5,,0.0,0.0,,0.3636,0.3333,-1.0,0.5,0.0,0.5,-1.0,0.5,1.0,0.0,0.0,1.0,-1.0,-0.25,0.8824,0.4286,,0.3333,0.0,,-0.4545
Gal Oya National Park,4,1,0,1,1,0,26,6,2,0,4,4,1,13,0,0,11,4,0,30,49,1,0,0,39,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,5,0,8,1,0,8,0,2,5,0,39,2,2,5,1,1,12,1,4,2,3,0,0,1,0,7,0.25,0.0,,0.0,0.0,,0.4231,0.3333,0.5,,0.75,0.0,0.0,0.2308,,,0.8182,0.5,,0.4,0.5306,0.0,,,0.5385,0.3333,,,,,,0.0,,,,,,,,,,,,1.0,0.75,,0.0,,,,,,,0.4,,0.375,0.0,,-0.25,,0.0,0.0,,0.4103,0.0,0.5,0.6,1.0,1.0,1.0,-1.0,0.75,0.0,0.6667,,,0.0,,-0.2857
Gal Vihara,0,17,0,1,0,0,7,0,1,0,5,189,15,3,0,0,19,1,0,4,5,1,0,0,1,0,148,7,280,0,4,310,24,72,1,0,0,13,0,1,0,8,34,20,41,9,1,0,0,0,0,0,0,2,6,46,3,1,5,6,3,13,0,0,22,7,5,0,11,43,0,3,13,4,0,7,0,0,34,,-0.2941,,0.0,,,0.5714,,0.0,,0.4,0.4127,0.2667,0.0,,,0.3158,0.0,,1.0,0.0,1.0,,,0.0,,0.3919,0.2857,0.4714,,0.25,0.6129,0.4167,0.2222,0.0,,,0.2308,,0.0,,0.5,0.2647,0.3,0.122,0.0,0.0,,,,,,,0.5,0.3333,0.413,0.0,0.0,0.6,0.1667,-0.3333,0.2308,,,-0.5455,1.0,0.8,,0.2727,1.0,,0.3333,-0.2308,0.25,,0.4286,,,-0.9412
Galle Dutch Fort,70,3,0,124,7,0,0,0,0,3,1,10,0,4,1,4,199,68,4,1,1,2,2,0,2,0,11,1,0,0,0,1,0,12,31,404,56,39,48,56,16,0,90,6,34,4,2,0,187,84,206,10,27,73,5,35,3,2,10,52,6,4,1,2,36,52,15,6,29,24,3,11,42,50,1,6,6,0,69,0.4286,0.6667,,0.6452,0.2857,,,,,0.6667,0.0,0.2,,0.75,0.0,0.75,0.7889,0.6912,0.0,0.0,0.0,0.5,0.0,,1.0,,0.0909,0.0,,,,1.0,,0.1667,0.4194,0.5149,0.4464,0.4103,0.3542,0.4286,0.1875,,0.2778,0.5,0.2353,0.25,0.5,,0.4278,0.5119,0.4126,0.4,0.3704,0.3014,0.8,0.6286,0.3333,1.0,0.2,0.3462,0.3333,0.25,1.0,0.5,-0.8333,0.0577,0.4,0.6667,0.4483,1.0,-1.0,0.8182,-0.2857,0.48,1.0,0.8333,0.0,,-0.5942
Galle Face Green,115,11,1,183,23,0,1,0,1,0,0,3,0,0,0,1,102,116,3,3,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,5,7,1,0,0,0,0,1,6,17,13,4,0,24,3,23,4,134,113,0,2,1,0,24,14,3,6,3,2,77,60,27,4,127,17,2,19,24,226,0,3,1,0,35,0.3391,0.3636,1.0,0.4809,0.5217,,0.0,,0.0,,,-0.3333,,,,0.0,0.6078,0.6379,1.0,0.3333,,0.0,,,1.0,,1.0,1.0,,,0.0,,,0.0,,0.2,0.0,1.0,,,,,1.0,0.1667,0.4706,0.0769,0.25,,0.5,0.6667,0.3478,0.25,0.1866,0.3009,,0.5,1.0,,0.25,0.4286,0.6667,0.8333,0.3333,1.0,-0.7273,0.1833,0.5926,1.0,0.4016,1.0,-1.0,0.7368,0.75,0.3805,,0.0,-1.0,,-0.3429
Galle Face Hotel,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,15,0,11,0,0,0,0,1,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,-1.0,,,0.8,,,,,,,,,,,,,,,0.75,1.0,,0.9333,,0.9091,,,,,1.0
Galle Fort Lighthouse,84,2,0,107,3,0,0,0,0,3,0,15,0,0,0,6,164,54,11,0,2,0,0,0,1,0,0,5,0,0,2,1,0,2,6,220,11,4,315,6,9,0,25,0,3,1,1,0,31,6,32,0,14,14,1,12,2,0,4,9,6,2,0,5,26,18,13,9,22,14,0,4,5,11,1,3,7,0,25,0.5476,0.5,,0.5607,0.6667,,,,,0.3333,,0.4,,,,1.0,0.7561,0.6296,0.6364,,0.5,,,,0.0,,,0.4,,,0.0,0.0,,0.5,0.5,0.4409,0.2727,0.5,0.454,0.6667,0.6667,,0.52,,0.3333,1.0,1.0,,0.5484,0.5,0.5938,,0.5714,0.2857,0.0,0.1667,0.5,,0.0,0.3333,0.6667,0.0,,0.6,-0.8846,0.5556,0.1538,0.5556,0.3182,1.0,,0.5,0.2,0.5455,1.0,0.6667,0.0,,-0.56
Galway's Land National Park,0,0,0,0,0,0,3,0,1,0,2,1,0,36,0,1,3,0,0,21,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,4,1,0,0,0,0,1,0,5,0,4,7,1,9,3,2,22,0,0,5,3,5,0,5,10,2,2,16,0,0,0,0,0,6,,,,,,,0.6667,,-1.0,,0.0,0.0,,0.3611,,1.0,0.0,,,0.1429,,,,,0.3077,,,,,,,,,,,,,,,,,,,0.2857,0.0,-0.25,-1.0,,,,,0.0,,0.0,,0.5,0.2857,1.0,0.2222,0.6667,0.0,0.4545,,,0.0,-1.0,0.6,,0.6,1.0,-1.0,1.0,-0.5,,,,,,-1.0
Gangaramaya Temple,0,0,0,1,0,0,63,2,0,0,2,0,1,2,0,0,18,3,0,9,46,0,0,0,2,0,407,10,155,5,14,141,1,2,0,1,1,134,0,2,2,28,4,62,74,8,2,0,1,0,10,2,1,13,12,35,3,0,16,24,6,1,1,1,30,26,3,8,12,110,2,10,22,1,0,3,0,0,7,,,,0.0,,,0.4603,0.0,,,0.5,,0.0,0.0,,,0.6111,1.0,,-0.2222,0.2391,,,,0.5,,0.5725,0.3,0.4387,0.6,0.5714,0.3972,0.0,0.0,,0.0,0.0,0.3955,,1.0,0.5,0.3929,0.25,0.1935,0.3649,0.25,0.0,,0.0,,0.3,0.0,1.0,0.3077,0.25,0.3714,0.0,,0.3125,0.4167,0.1667,0.0,0.0,0.0,-0.7,0.2692,1.0,1.0,0.5,0.9818,-1.0,0.2,0.5455,-1.0,,0.0,,,-0.8571
Gartmore Falls,0,0,0,0,0,0,3,1,6,0,4,0,0,0,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,2,0,3,0,1,0,0,0,0,0,0,0,,,,,,,0.6667,0.0,1.0,,0.5,,,,0.75,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,1.0,,,1.0,,,1.0,,1.0,,0.0,,,,,,,
Goyambokka Beach,282,47,1,62,132,1,0,2,0,0,1,18,0,2,0,1,28,1,1,1,0,4,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,39,0,9,0,109,14,2,0,3,39,2,4,0,0,14,16,1,5,0,4,51,47,27,1,42,54,1,20,57,88,8,9,26,0,7,0.7163,0.5745,0.0,0.4355,0.4167,1.0,,0.5,,,0.0,0.1111,,0.0,,1.0,0.25,1.0,0.0,1.0,,0.5,,,0.5,,,,,,1.0,,,0.0,,,,,,,,,,1.0,0.0256,,0.3333,,0.5229,0.2857,0.5,,0.0,0.3846,0.5,0.5,,,0.3571,0.375,1.0,0.6,,0.5,-0.4118,0.7021,0.4074,-1.0,0.4524,1.0,-1.0,0.3,-0.0175,0.5909,1.0,0.4444,-0.0385,,0.0
Gregory Lake,8,0,0,5,1,0,368,6,1,0,55,0,0,0,4,1,121,3,0,4,0,0,0,0,3,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,45,116,24,6,0,23,8,16,1,29,13,0,3,2,1,12,4,2,39,4,190,38,105,14,3,114,40,6,16,43,60,0,4,0,0,46,-0.125,,,0.2,0.0,,0.5136,0.0,-1.0,,0.5455,,,,0.25,1.0,0.7355,0.6667,,-0.5,,,,,-0.3333,,0.2,,,,,1.0,,,,,,,,,,0.0,,0.0222,0.1379,0.125,-0.1667,,0.1739,0.125,0.1875,-1.0,0.3793,0.4615,,0.6667,0.0,-1.0,0.25,0.25,-0.5,0.4615,0.0,0.2526,-0.7105,0.3714,0.4286,1.0,0.5614,1.0,-1.0,0.3125,-0.2558,0.3333,,0.5,,,-0.0435
Hakgala Botanic Gardens,0,0,0,4,0,0,2,5,6,0,49,19,0,12,5,0,60,0,0,3,0,0,0,0,22,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,54,108,10,12,0,2,5,7,1,1,4,1,25,16,0,22,16,4,32,5,0,35,63,2,5,48,41,5,25,55,15,0,0,0,1,35,,,,0.5,,,0.5,0.4,0.6667,,0.4082,0.3684,,0.4167,0.4,,0.7,,,0.6667,,,,,0.5,,0.4,,,,,,,,,,0.5,,,,,0.6667,0.0,-0.037,0.0926,-0.2,-0.0833,,0.0,0.4,0.0,0.0,1.0,0.25,1.0,0.4,0.25,,0.1818,0.3125,0.25,0.3125,0.6,,-0.4857,0.5238,-0.5,0.6,0.4375,1.0,-1.0,0.44,-0.4909,0.0667,,,,-1.0,-0.2
Handunugoda Tea Estate,20,0,0,2,0,0,1,0,0,0,28,0,0,3,216,0,34,0,0,7,1,1,2,0,8,0,0,0,0,0,1,0,0,0,5,1,15,37,0,0,0,2,2,9,53,1,3,0,1,1,135,2,8,13,54,217,6,0,15,53,3,8,0,0,9,10,1,1,46,26,1,58,182,38,0,2,1,0,16,0.7,,,0.5,,,0.0,,,,0.4643,,,0.3333,0.5694,,0.7059,,,0.5714,0.0,0.0,0.0,,0.75,,,,,,1.0,,,,0.2,0.0,0.4,0.4865,,,,0.0,0.0,0.3333,0.2642,0.0,1.0,,-1.0,-1.0,0.437,-1.0,0.625,0.3846,0.7222,0.6406,0.1667,,0.7333,0.4528,0.6667,0.375,,,-0.7778,0.6,-1.0,1.0,0.5435,1.0,-1.0,0.6379,0.4176,1.0,,1.0,1.0,,-0.875
Henerathgoda Botanical Garden,0,0,0,2,0,0,3,1,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,1,1,0,0,0,0,1,1,0,0,3,0,0,2,0,2,3,5,1,0,8,11,0,3,1,2,0,0,0,0,2,,,,0.0,,,0.3333,0.0,,,0.0,,1.0,,,,1.0,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,0.0,0.0,0.5,,,1.0,0.0,,,,,1.0,1.0,,,0.0,,,0.5,,1.0,-1.0,0.2,0.0,,0.25,1.0,,0.3333,-1.0,0.0,,,,,-1.0
Hikkaduwa Beach,541,108,2,164,168,6,1,1,0,110,9,28,0,1,2,0,37,40,3,31,2,202,3,0,0,0,2,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,3,46,2,4,1,139,20,34,3,12,107,1,11,14,0,24,21,2,2,1,59,124,149,52,4,54,49,14,27,40,69,19,36,40,0,29,0.61,0.6019,0.0,0.3171,0.3571,0.3333,0.0,1.0,,0.3364,-0.2222,0.5357,,1.0,0.0,,0.5405,0.675,0.6667,0.2581,-0.5,0.3267,0.6667,,,,0.5,,,,,,,1.0,,0.0,,1.0,,,,,,0.0,0.2174,0.5,0.0,0.0,0.4532,0.4,0.4706,0.0,0.3333,0.2523,1.0,0.6364,0.0714,,0.125,0.2857,0.5,0.5,0.0,0.0508,-0.8548,0.5369,0.2115,1.0,0.4259,0.9592,-1.0,0.3704,0.35,0.4783,0.8947,0.2778,0.025,,-0.069
Hiriketiya Beach,122,14,0,18,70,2,0,1,0,4,2,1,0,1,0,0,10,2,4,1,0,4,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,38,7,4,1,4,20,0,1,4,0,7,3,0,1,0,1,41,15,11,2,23,25,0,2,16,27,2,6,5,0,4,0.5984,0.4286,,0.2778,0.5286,0.5,,0.0,,0.5,1.0,0.0,,1.0,,,0.6,1.0,0.75,1.0,,0.5,,,1.0,,0.5,,,,,1.0,,,,,,,,,,,,,0.375,0.0,,,0.3947,0.7143,0.25,1.0,0.25,0.2,,1.0,-0.25,,0.1429,0.3333,,0.0,,1.0,-0.9024,0.3333,0.2727,1.0,0.4783,1.0,,1.0,0.0,0.4815,1.0,0.5,0.0,,-0.5
Horton Plains National Park,5,3,0,8,0,0,3,15,201,0,78,48,0,52,5,44,361,1,41,114,2,0,0,0,72,29,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,10,63,119,19,44,0,1,7,4,0,1,40,9,58,29,0,47,30,34,159,0,0,70,80,15,6,44,42,3,32,64,15,1,7,0,2,115,0.6,0.3333,,0.25,,,0.6667,0.2,0.4527,,0.4103,0.125,,0.3846,0.4,0.4318,0.7119,1.0,0.4878,0.3158,0.0,,,,0.2778,0.2414,,,,,,,,0.3333,,,,0.2,,,,,0.1,-0.1587,-0.0924,0.0,0.0,,0.0,-0.1429,0.5,,0.0,0.1,0.7778,0.3448,0.1034,,0.2766,0.1,0.2647,0.2327,,,-0.7857,-0.5375,-0.2,0.0,0.3182,1.0,-1.0,0.25,-0.625,0.2,1.0,0.5714,,-1.0,-0.3565
Hummanaya Blow Hole,30,1,1,50,29,0,2,0,1,0,3,40,1,0,0,1,45,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,29,47,15,4,0,2,0,9,0,11,3,1,6,3,0,15,12,23,13,0,4,6,11,11,2,9,16,7,3,15,6,1,5,13,0,32,0.4667,1.0,-1.0,0.24,0.5517,,0.0,,1.0,,0.3333,0.25,0.0,,,1.0,0.8,0.0,,,,0.0,-1.0,,,,,,,,,,,,,,,0.7143,,,,,,-0.0345,0.1064,-0.0667,-0.75,,0.5,,0.2222,,0.0,0.3333,0.0,0.3333,0.3333,,-0.2,-0.0833,0.3043,0.3077,,0.0,-0.6667,-0.2727,0.2727,0.0,0.3333,1.0,-1.0,0.3333,0.3333,0.1667,1.0,0.4,0.0769,,-0.5625
Hurulu Eco Park,0,0,0,1,0,0,5,0,0,0,10,19,0,24,0,10,43,10,0,119,325,0,1,0,79,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,20,46,2,1,0,1,0,1,0,0,44,9,70,2,0,73,1,2,38,0,0,37,7,11,5,34,12,15,8,21,4,0,1,1,0,43,,,,0.0,,,-0.2,,,,0.3,0.6316,,0.2083,,0.8,0.7442,0.8,,0.2269,0.3692,,0.0,,0.3038,-0.3333,,,,,,,,0.0,,,,,,,,,0.0,0.15,0.1304,-0.5,1.0,,1.0,,-1.0,,,0.2045,0.2222,0.4429,0.5,,-0.0548,0.0,0.0,0.0789,,,-0.7027,-0.1429,-0.0909,0.2,0.4118,1.0,-1.0,0.5,-0.2381,0.25,,0.0,0.0,,-0.7907
