place_name,feature,positive_count,negative_count,neutral_count,total_mentions,dominant_sentiment,average_confidence,sample_evidence,place_total_mentions,TF,doc_freq,IDF,TF_IDF,defining_score
Galle Dutch Fort,Local guide,22,0,13,35,positive,0.776,"Worth a visit, I think if you get a guide it will make the experience better as there are no free information boards.",1754,0.019954389965792473,66,0.9162907318741551,0.018284022585858282,0.014188401526626027
Galle Dutch Fort,Market,5,1,4,10,positive,0.792,Space is at a premium inside the Fort walls so prices reflect this.We enjoyed the market and the walk around the old Fort walls the most.,1754,0.005701254275940707,16,2.3333567516607996,0.013303060157701252,0.010536023644899391
Galle Dutch Fort,Rock formation,4,2,4,10,positive,0.764,"more besides, the cleaners pick some of the things up but not others?On the last morning i was going to go snorkelling around the rock's near the lighthouse.",1754,0.005701254275940707,20,2.1102132003465894,0.012030862031622517,0.009191578592159603
Galle Dutch Fort,Cleanliness,27,24,1,52,positive,0.867,"If you go to the end of lighthouse rd and climb up to the Fort you will find a wooden staircase down to a small sandy area, the water was lovely and clean and a welcome relief from the heat.",1754,0.029646522234891677,117,0.34377153910282454,0.010191630577734822,0.00883614371089609
Galle Dutch Fort,Ticket price,13,5,16,34,neutral,0.794,"While expensive for Sri Lanka, these high end restaurants are half the price of any western.",1754,0.019384264538198404,94,0.5626506916305767,0.010906569849167394,0.008659816460238912
Galle Dutch Fort,Value for money,15,27,0,42,negative,0.856,"While expensive for Sri Lanka, these high end restaurants are half the price of any western.",1754,0.02394526795895097,112,0.38744660260548613,0.009277512719173556,0.007941550887612564
Galle Dutch Fort,Family friendliness,14,1,14,29,positive,0.771,I think we may have been scammed into donating to a children’s nursery too - it’s seemed genuine but it was hard to tell because of the way it was done.,1754,0.01653363740022805,89,0.6173091041684409,0.010206364892180606,0.007869107331871248
Galle Dutch Fort,Waves,2,0,5,7,neutral,0.751,The feeling is like you are in Portugal but in a poorer version :p (with some effort from the authorities it would be awesome :) )Beautiful waves crushing on the rocks.,1754,0.003990877993158495,20,2.1102132003465894,0.008421603422135762,0.006324624170023957
Galle Dutch Fort,Strong current,2,2,2,6,positive,0.773,"It does get very hot inside the Fort and the beach area does not look very pleasant, but we found a lovely place to swim possibly only during low tide.",1754,0.0034207525655644243,21,2.0614230361771577,0.0070516181397166176,0.0054509008220009455
Galle Dutch Fort,Crowdedness,2,32,2,36,negative,0.827,"I had not planned to visit the fortress, but we decided to spare a couple of hours on our way to the airport and I wish I had more time.It is a very touristy area, but well maintained and with a spectacular view of the bay.",1754,0.020524515393386546,122,0.3019244291673241,0.006196852594084189,0.005124797095307624
Galle Dutch Fort,Accessibility,5,1,0,6,positive,0.867,"Easy access, Ample free parking , good hotels , fine restaurants and beautiful views.",1754,0.0034207525655644243,36,1.5224265354444706,0.005207844477005031,0.004515201161563362
Galle Dutch Fort,Safety,10,4,1,15,positive,0.791,"Safe to say we are glad we did, what a beautiful place with some stunning scenery to experience.",1754,0.00855188141391106,86,0.651598177647073,0.005572390344758321,0.004407760762703832
Galle Dutch Fort,Guided tours,4,0,1,5,positive,0.852,"I recommend you do a little bit of research before you come so you can better understand about the fort and it’s history, or take a guided tour.",1754,0.0028506271379703536,36,1.5224265354444706,0.004339870397504192,0.0036975695786735712
Galle Dutch Fort,Service quality,9,0,2,11,positive,0.807,There are very friendly staff to assist in the museums.,1754,0.006271379703534778,88,0.6286086594223741,0.003942243588167683,0.00318139057565132
Galle Dutch Fort,Peacefulness,24,0,0,24,positive,0.788,"Was peaceful and lovely to see the fort slowly waking with early tuk tuk bread deliveries, cats still asleep front of house, locals going about their early mornings, and the call to prayer breaking early morning silence.",1754,0.013683010262257697,129,0.24613306953890854,0.003367841316381873,0.002653858957308916
Galle Dutch Fort,Entrance fee,3,0,3,6,positive,0.797,A very cheap entrance fee would allow them to keep the walls better maintained and the rubbish cleared,1754,0.0034207525655644243,87,0.6400373552459969,0.0021894094250148126,0.0017449593117368058
Galle Face Green,Sunset view,77,3,36,116,positive,0.846,take a walk down Galle Face Green to watch the beautiful sunset on the Indian ocean and have these street food it is sure to be a different experience,1076,0.10780669144981413,44,1.3217558399823195,0.14249412401296382,0.1205500289149674
Galle Face Green,Souvenir stalls,38,13,83,134,neutral,0.772,"There are many food stalls along the cost and you will find spicy Sri Lankan ,Indian, Malaysian and Chinese food stalls whew you can have a good meal at a price around 5$.",1076,0.12453531598513011,49,1.214125175789954,0.15120146241250357,0.11672752898245276
Galle Face Green,Beach,51,12,52,115,neutral,0.785,"Beautiful beach, go at sunset time to get a good view.",1076,0.10687732342007435,64,0.9470623905409088,0.10121949341282947,0.07945730232907114
Galle Face Green,Family friendliness,55,4,68,127,neutral,0.759,Nice place to spend quality time with family and friends.,1076,0.11802973977695168,89,0.6173091041684409,0.07286083292694423,0.05530137219155067
Galle Face Green,Accommodation,42,8,63,113,neutral,0.779,"Across the road from some large hotels, but rather a rough grass area.Should be a smart park but is not.",1076,0.1050185873605948,90,0.6061358035703155,0.0636555258396335,0.0495876546290745
Galle Face Green,Waves,12,0,11,23,positive,0.78,"Good sea face view, walking area, activities in the evening popular with locals, but lot of construction around these days, can view large sea waves hitting the shore,",1076,0.02137546468401487,20,2.1102132003465894,0.04510678773975051,0.0351832944370054
Galle Face Green,Restaurants,12,0,12,24,positive,0.783,"The area is easily reached by tuk tuk.Galle Face Green is the flanked by some of the most famous colonial buildings in Sri Lanka, good restaurants, and the old parliament buildings.",1076,0.022304832713754646,49,1.214125175789954,0.027080858939552876,0.021204312549669903
Galle Face Green,Scenic view,66,4,32,102,positive,0.77,Stunning views of the Indian Ocean,1076,0.09479553903345725,128,0.25391520998096345,0.024070029198938914,0.018533922483182964
Galle Face Green,Crowdedness,9,65,3,77,negative,0.846,Huge crowds in weekends and holidays.,1076,0.07156133828996282,122,0.3019244291673241,0.021606116213646796,0.01827877431674519
Galle Face Green,Weather condition,10,22,3,35,negative,0.755,"The strip is somewhat of a construction site at the moment with the port city underway and a lot of other high rises, but it’s still a charming little area especially on a sunny day.",1076,0.032527881040892194,82,0.6992262266363275,0.022744347520698385,0.017171982378127282
Galle Face Green,Cleanliness,34,23,3,60,positive,0.868,"this well located 'green' has seen better days.The 'Green' is now a dust hole,with litter everywhere.The cheap food stalls are tawdry,with stale dried up offerings.A little more attention by the Municipal Authorities could turn this area into an oasisof comfort and recreation",1076,0.055762081784386616,117,0.34377153910282454,0.019169416678596164,0.01663905367702147
Galle Face Green,Safety,20,4,3,27,positive,0.798,Bathing / Swimming Dangerous.,1076,0.02509293680297398,86,0.651598177647073,0.016350511892631012,0.013047708490319549
Galle Face Green,Parking,4,3,6,13,neutral,0.788,Crowded during weekends and parking can be an issue.,1076,0.012081784386617101,54,1.1169614273363062,0.013494887133245335,0.010633971060997324
Galle Face Green,Colonial architecture,2,2,3,7,neutral,0.791,"The area is easily reached by tuk tuk.Galle Face Green is the flanked by some of the most famous colonial buildings in Sri Lanka, good restaurants, and the old parliament buildings.",1076,0.006505576208178439,24,1.927891643552635,0.012542046008242049,0.009920758392519461
Galle Face Green,Service quality,14,0,5,19,positive,0.799,One of the nicest views of the Indian Ocean from the hotel coffee shops and the staff are very friendly and helpful too,1076,0.017657992565055763,88,0.6286086594223741,0.011099967034409953,0.008868873660493553
Galle Face Green,Value for money,21,3,0,24,positive,0.838,best thing is this place is free of change to anyone.,1076,0.022304832713754646,112,0.38744660260548613,0.008641931656627943,0.007241938728254216
Galle Face Green,Ticket price,9,1,7,17,positive,0.792,made freshly and quite a big variety is available at an extremely reasonable price.,1076,0.015799256505576207,94,0.5626506916305767,0.008889462600111342,0.007040454379288183
Galle Face Green,Public transport access,6,0,8,14,neutral,0.794,"From Pettah a tuk-tuk will charge you Rs.150 - 200 to drop at Galle Face.Location : The sea at Galle face is calm nice beach area , next to colombo harbour .You will find that many people, children play at the beach and having bath and enjoy.",1076,0.013011152416356878,90,0.6061358035703155,0.007886525325264328,0.006261901108259876
Galle Face Green,Trail,5,0,1,6,positive,0.77,Lovely park with jogging track.,1076,0.0055762081784386614,39,1.4423838277709342,0.008043032496863944,0.006193135022585237
Galle Face Green,Peacefulness,17,0,0,17,positive,0.821,"From Pettah a tuk-tuk will charge you Rs.150 - 200 to drop at Galle Face.Location : The sea at Galle face is calm nice beach area , next to colombo harbour .You will find that many people, children play at the beach and having bath and enjoy.",1076,0.015799256505576207,129,0.24613306953890854,0.0038887195001500417,0.0031926387096231842
Galle Face Green,Entrance fee,1,0,5,6,neutral,0.79,Nearby however at the maritime museum is the elevated stupa which provides wonderful view of the harbor if you climb the stairs-no fee.,1076,0.0055762081784386614,87,0.6400373552459969,0.003568981534828979,0.0028194954125148933
Galle Face Hotel,Food quality,10,0,1,11,positive,0.787,The following d was delicious and beds very comfortable.,36,0.3055555555555556,16,2.3333567516607996,0.7129701185630222,0.5611074833090984
Galle Face Hotel,Service quality,14,0,1,15,positive,0.817,The staff were helpful and very friendly.,36,0.4166666666666667,88,0.6286086594223741,0.26192027475932256,0.21398886447836651
Galle Face Hotel,Accommodation,8,0,2,10,positive,0.804,Had an absolutely amazing time at Galle Face Hotel!,36,0.2777777777777778,90,0.6061358035703155,0.16837105654730986,0.13537032946403713
Galle Fort Lighthouse,Lighthouse,148,5,162,315,neutral,0.778,"i've seen lighthouses so it looks ordinary to me :D but if you're in this area, there's a near home made ice cream store that offered a really delicious ice cream :D",960,0.328125,5,3.4965075614664802,1.1472915436061888,0.8925928209256149
Galle Fort Lighthouse,Shops,19,0,13,32,positive,0.759,"i've seen lighthouses so it looks ordinary to me :D but if you're in this area, there's a near home made ice cream store that offered a really delicious ice cream :D",960,0.03333333333333333,10,2.803360380906535,0.09344534603021783,0.07092501763693533
Galle Fort Lighthouse,Beach,48,2,34,84,positive,0.789,it stands tall near the galle fort...good for clicking pics...near galle beach...looks beautiful...nothing much to do really apart from watching it n clicking pics...,960,0.0875,64,0.9470623905409088,0.08286795917232952,0.06538281978696799
Galle Fort Lighthouse,Sunset view,35,1,18,54,positive,0.839,A beautiful place to take photos sunrise or sunset.,960,0.05625,44,1.3217558399823195,0.07434876599900547,0.06237861467316559
Galle Fort Lighthouse,Heritage site,13,0,12,25,positive,0.798,"Heritage mounument, stands out tall, well maintained.",960,0.026041666666666668,30,1.7047480922384253,0.044394481568708996,0.03542679629182978
Galle Fort Lighthouse,Scenic view,126,2,36,164,positive,0.798,great view too,960,0.17083333333333334,128,0.25391520998096345,0.04337718170508126,0.03461499100065485
Galle Fort Lighthouse,Restaurants,17,0,14,31,positive,0.778,"Pleasant walk, the fort is quiet turns walking, inside there are shops and restaurants.very different from the chaos outside.",960,0.03229166666666667,49,1.214125175789954,0.03920612546821727,0.03050236561427304
Galle Fort Lighthouse,Mosque,6,0,3,9,positive,0.793,"This is a beautiful spot, with good views of the bay, the ramparts, the mosque and the Galle Fort area - just a shame there's big black electrical cables blotting every photograph!",960,0.009375,5,3.4965075614664802,0.03277975838874825,0.02599434840227736
Galle Fort Lighthouse,Rock formation,6,0,9,15,neutral,0.751,You can get a nice view of the Flag Rock and also put your feet in the ocean.,960,0.015625,20,2.1102132003465894,0.03297208125541546,0.02476203302281701
Galle Fort Lighthouse,Sunrise view,7,0,4,11,positive,0.836,A beautiful place to take photos sunrise or sunset.,960,0.011458333333333333,21,2.0614230361771577,0.02362047228952993,0.01974671483404702
Galle Fort Lighthouse,Colonial architecture,3,0,8,11,neutral,0.775,One of the old colonial era remnants - It is indeed a great spot to visit if you have time as you can get some very beautiful pictures here but then again; Sri Lanka is filled with such beautiful picturesque spots.,960,0.011458333333333333,24,1.927891643552635,0.02209042508237394,0.017120079438839805
Galle Fort Lighthouse,Church,4,0,2,6,positive,0.787,"nice to have a quick stop,take photos,its almost like the trademark of the whole gall old town fortress, except the churches of course which i didn't visit at all",960,0.00625,9,2.908720896564361,0.018179505603527258,0.014307270909975953
Galle Fort Lighthouse,Fortress,3,0,3,6,positive,0.783,"nice to have a quick stop,take photos,its almost like the trademark of the whole gall old town fortress, except the churches of course which i didn't visit at all",960,0.00625,9,2.908720896564361,0.018179505603527258,0.014234552887561843
Galle Fort Lighthouse,Weather condition,5,19,1,25,negative,0.759,"It certainly makes for a great photo op, weather permitting.",960,0.026041666666666668,82,0.6992262266363275,0.01820901631865436,0.01382064338585866
Galle Fort Lighthouse,Souvenir stalls,8,0,6,14,positive,0.78,There was a hawker selling icecream which was quite nice,960,0.014583333333333334,49,1.214125175789954,0.01770599214693683,0.013810673874610728
Galle Fort Lighthouse,Cafes,4,1,1,6,positive,0.81,Stroll along the surrounding area for some good food and also cafes.,960,0.00625,15,2.3978952727983707,0.014986845454989817,0.012139344818541753
Galle Fort Lighthouse,Accessibility,7,2,0,9,positive,0.849,A lovely visit accessible by both private and public transport.,960,0.009375,36,1.5224265354444706,0.01427274876979191,0.012117563705553332
Galle Fort Lighthouse,Boat service,3,0,2,5,positive,0.776,"This position has a great advantage to see any ship, yacht or boat that sails into the harbor from here.Intersting fact is that this is the second lighthouse - the original one was bulit in 1848 and was 24 m high, unfortunately it was destroyed by fire in 1934.",960,0.005208333333333333,9,2.908720896564361,0.01514958800293938,0.01175608029028096
Galle Fort Lighthouse,Family friendliness,8,1,13,22,neutral,0.755,At sunset this is a popular meeting area for local families as well as tourists and is well worth being there to observe life.,960,0.022916666666666665,89,0.6173091041684409,0.014146666970526769,0.01068073356274771
Galle Fort Lighthouse,Viewpoint,6,0,0,6,positive,0.827,Nice lookout spot,960,0.00625,29,1.7386496439141066,0.010866560274463167,0.008986645346981039
Galle Fort Lighthouse,Stupa,2,0,3,5,neutral,0.78,Good atmosphere and nice views over to the Japanese pagoda in the distance.,960,0.005208333333333333,29,1.7386496439141066,0.009055466895385972,0.007063264178401058
Galle Fort Lighthouse,Safety,7,5,1,13,positive,0.795,"But bit careful, when you go with kinds, so windy and risky slopes.",960,0.013541666666666667,86,0.651598177647073,0.008823725322304113,0.007014861631231771
Galle Fort Lighthouse,Crowdedness,1,24,1,26,negative,0.833,"I'd recommend walking about, especially at dusk since the light is beautiful with the lit lighthouse, but take care regarding the crowds.",960,0.027083333333333334,122,0.3019244291673241,0.008177119956615029,0.006811540923860319
Galle Fort Lighthouse,Accommodation,4,0,10,14,neutral,0.766,Do try the lighthouse hotel which is an example of beautiful architecture and awesome food.,960,0.014583333333333334,90,0.6061358035703155,0.008839480468733767,0.006771042039050066
Galle Fort Lighthouse,Stairs,4,0,2,6,positive,0.76,Fascinating step back in time,960,0.00625,47,1.255797872190522,0.007848736701190764,0.00596503989290498
Galle Fort Lighthouse,Cleanliness,14,4,0,18,positive,0.884,"Heritage mounument, stands out tall, well maintained.",960,0.01875,117,0.34377153910282454,0.00644571635817796,0.005698013260629317
Galle Fort Lighthouse,Public transport access,3,0,6,9,neutral,0.791,A lovely visit accessible by both private and public transport.,960,0.009375,90,0.6061358035703155,0.005682523158471707,0.004494875818351121
Galle Fort Lighthouse,Peacefulness,14,0,0,14,positive,0.797,"Pleasant walk, the fort is quiet turns walking, inside there are shops and restaurants.very different from the chaos outside.",960,0.014583333333333334,129,0.24613306953890854,0.0035894405974424165,0.002860784156161606
Galle Fort Lighthouse,Value for money,3,2,0,5,positive,0.856,"If one is interested in the works of Mr Bawa then free to explore the Light House Hotel, which is a unique design of Mr.",960,0.005208333333333333,112,0.38744660260548613,0.0020179510552369067,0.001727366103282792
Galway's Land National Park,Forest,16,3,17,36,neutral,0.783,"A nice walk in the forest, ideal for bird watching",157,0.22929936305732485,51,1.1741198411762548,0.26922493173468265,0.21080312154825653
Galway's Land National Park,Trail,10,0,12,22,neutral,0.762,There is a nice walking path going in a circle through a small forest.,157,0.14012738853503184,39,1.4423838277709342,0.20211747905070415,0.15401351903663657
Galway's Land National Park,Wildlife,4,1,16,21,neutral,0.76,The ticketing counter warned us we wouldn't see much so we were prepared and were on the lookout more for interesting trees and plants than animals.,157,0.1337579617834395,54,1.1169614273363062,0.14940248391122568,0.11354588777253152
Galway's Land National Park,Ticket price,5,5,14,24,neutral,0.774,"I don't mind contributing to supporting nature, but for western style entrance prices I expect an attempt an western style information.So basically, if you can find it you get a peaceful stroll through the woods with no idea what trees there are or where the deer normally live.",157,0.15286624203821655,94,0.5626506916305767,0.08601029680976968,0.06657196973076174
Galway's Land National Park,Value for money,4,12,0,16,negative,0.86,For locals are very cheap.,157,0.10191082802547771,112,0.38744660260548613,0.0394850040871833,0.03395710351497764
Galway's Land National Park,Entrance fee,2,0,5,7,neutral,0.837,"We thought this would be worth going to, on the lake side, but totally baulked at the 1500Rs entry fee for tourists.",157,0.044585987261146494,87,0.6400373552459969,0.028536697367655912,0.023885215696727996
Galway's Land National Park,Weather condition,0,6,0,6,negative,0.78,A true experience of a high land rain forest.Easy to reach..only 5 min form the city.,157,0.03821656050955414,82,0.6992262266363275,0.026722021400114426,0.020843176692089252
Galway's Land National Park,Safety,4,1,0,5,positive,0.792,Nicely done walkways..safe to walk even for kids.,157,0.03184713375796178,86,0.651598177647073,0.020751534319970476,0.016435215181416617
Galway's Land National Park,Accommodation,1,1,3,5,neutral,0.772,"but some unpaved sections will be muddy in the rain.The negatives are:- Difficult to find: We had to ask several people in different hotels,",157,0.03184713375796178,90,0.6061358035703155,0.019303688011793486,0.014902447145104572
Galway's Land National Park,Peacefulness,10,0,0,10,positive,0.792,Great place for a quiet peaceful walk.,157,0.06369426751592357,129,0.24613306953890854,0.01567726557572666,0.012416394335975516
Galway's Land National Park,Crowdedness,2,2,1,5,positive,0.82,"Absolutely pleasant way to spend an hour - for travelers who don't like noisy, crowded areas.",157,0.03184713375796178,122,0.3019244291673241,0.009615427680488028,0.007884650698000182
Gangaramaya Temple,Temple,251,18,138,407,positive,0.795,The Gangaramaya Buddhist Temple is very impressive.,1413,0.28803963198867655,76,0.7752121336142496,0.2232918176794052,0.17751699505512714
Gangaramaya Temple,Museum,56,3,75,134,neutral,0.775,"Worth a visit, certainly some interesting artifacts around the temple and museum area",1413,0.09483368719037509,36,1.5224265354444706,0.1443773218326674,0.11189242442031724
Gangaramaya Temple,Buddha statue,71,3,81,155,neutral,0.795,A lovely Bodhi tree and many many poses of Buddha - calm and serene as ever!,1413,0.10969568294409059,47,1.255797872190522,0.13775560522967512,0.10951570615759172
Gangaramaya Temple,Sculptures,62,6,73,141,neutral,0.781,The temple also has a number of jade and ruby Buddha statues which is very nice.,1413,0.09978768577494693,55,1.0986122886681098,0.10962797785010862,0.08561945070093484
Gangaramaya Temple,Elephants,13,2,31,46,neutral,0.765,"It is clear this elephant had some significance, but I never found out what it was.",1413,0.03255484784147204,33,1.6094379124341003,0.05239500634958854,0.040082179857435236
Gangaramaya Temple,Entrance fee,16,4,42,62,neutral,0.814,Good collect of Articraft and Buddha...the entry fee for temple is not fair and acceptable.....This temple has hindu sacred tree at the centre of the temple and it has got collection of of vintage cars,1413,0.043878273177636234,87,0.6400373552459969,0.02808373391737566,0.022860159408743787
Gangaramaya Temple,Ticket price,29,2,43,74,neutral,0.764,It's a serene and a majestic Buddhist temple in the heart of colombo.A must visit for all visitors ..The temple also has Hindu diety in the complex .there is a entry charge OF Sln Rs 300 .There is a dress code for entry and you are expected to be fully covered however sarong are available,1413,0.052370842179759375,94,0.5626506916305767,0.02946649057371739,0.022512398798320087
Gangaramaya Temple,Hindu shrine,12,1,15,28,neutral,0.778,It's a serene and a majestic Buddhist temple in the heart of colombo.A must visit for all visitors ..The temple also has Hindu diety in the complex .there is a entry charge OF Sln Rs 300 .There is a dress code for entry and you are expected to be fully covered however sarong are available at the entry in case,1413,0.019815994338287332,39,1.4423838277709342,0.02858226976474604,0.022237005876972422
Gangaramaya Temple,Local guide,15,2,18,35,neutral,0.75,"Nice place, good to go with a guide.",1413,0.024769992922859165,66,0.9162907318741551,0.02269651494380427,0.0170223862078532
Gangaramaya Temple,Peacefulness,109,1,0,110,positive,0.809,A lovely Bodhi tree and many many poses of Buddha - calm and serene as ever!,1413,0.07784854918612881,129,0.24613306953890854,0.019161102370332583,0.015501331817599062
Gangaramaya Temple,Paintings,8,0,6,14,positive,0.783,This place is a nice temple and place to see Big buddha and some paintings and other things related to Buddhism.,1413,0.009907997169143666,29,1.7386496439141066,0.017226535750033613,0.01348837749227632
Gangaramaya Temple,Guided tours,4,1,7,12,neutral,0.808,We enjoyed our visit and tour guide’s knowledge of the various artifacts and rooms.,1413,0.008492569002123142,36,1.5224265354444706,0.01292931240292544,0.010446884421563756
Gangaramaya Temple,Stupa,3,0,7,10,neutral,0.77,"year but never reviewed the peaceful and beautiful atmosphere of this holy temple which comprised of Srilankan’s styles premises,pagoda,Buddha’s statues,and Maha Bodhi tree especially we are very glad to be able to make the most respect to the Buddha’s Relics that contained in the small pagoda on the golden tray which",1413,0.007077140835102618,29,1.7386496439141066,0.01230466839288115,0.009474594662518486
Gangaramaya Temple,Public transport access,10,0,14,24,neutral,0.783,"The tuk tuk driver was very nice gent, speak fluent English, and recommended this temple visit which was not disappointed at all.",1413,0.016985138004246284,90,0.6061358035703155,0.010295300272956526,0.00806122011372496
Gangaramaya Temple,Murals,3,0,2,5,positive,0.808,Huge statues of the great Buddha along with wall paintings of related stories is the highlight.,1413,0.003538570417551309,11,2.70805020110221,0.009582626330864154,0.007742762075338237
Gangaramaya Temple,Accessibility,8,0,0,8,positive,0.875,There are two separate temples accessible with same ticket so keep hold of ticket till you visit both.,1413,0.005661712668082095,36,1.5224265354444706,0.008619541601950293,0.007542098901706507
Gangaramaya Temple,Cleanliness,16,9,1,26,positive,0.873,It’s well maintained and certainly worth a visit.,1413,0.01840056617126681,117,0.34377153910282454,0.006325590953059759,0.005522240902021169
Gangaramaya Temple,Wildlife,0,2,7,9,neutral,0.762,"I was so upset seeing this beautiful creature in chains and in a busy city so I looked into further....She is whipped, poorly fed and sleeps in her own waste.",1413,0.006369426751592357,54,1.1169614273363062,0.007114403995772651,0.00542117584477876
Gangaramaya Temple,Crowdedness,4,25,1,30,negative,0.819,"It is worth visiting, although often crowded because of many turists going there.",1413,0.021231422505307854,122,0.3019244291673241,0.006410285120325352,0.005250023513546463
Gangaramaya Temple,Value for money,17,5,0,22,positive,0.825,Free for locals.,1413,0.01556970983722576,112,0.38744660260548613,0.006032431179986337,0.0049767557234887275
Gangaramaya Temple,Parking,2,0,6,8,neutral,0.765,This is a well maintained Buddhist temple in the heart of Colombo City with roadside parking.,1413,0.005661712668082095,54,1.1169614273363062,0.006323914662909024,0.004837794717125403
Gangaramaya Temple,Accommodation,4,0,9,13,neutral,0.765,It is situated in the city centre.Only few kilometers from major hotels in Colombo.It’s just like a museum.So many ancient and beautiful things in that place.All should visit this temple.,1413,0.009200283085633405,90,0.6061358035703155,0.005576620981184785,0.004266115050606361
Gangaramaya Temple,Family friendliness,7,1,4,12,positive,0.77,activities where they carry variou Religious statues and other symbols on the backs of many Elephants decorated and Dancers drumers monks children and people offering sill.it takes a couple of hours in the early hours of the night....quite spectacular and enjoyed by youg children and adaults.Make sure to take some snacks,1413,0.008492569002123142,89,0.6173091041684409,0.005242540162789307,0.004036755925347767
Gangaramaya Temple,Service quality,5,3,2,10,positive,0.784,We thought wow the people here are friendly here but in actual most of them are trying to sell you their service.,1413,0.007077140835102618,88,0.6286086594223741,0.0044487520128971975,0.003487821578111403
Gangaramaya Temple,Scenic view,11,0,7,18,positive,0.755,It’s a very nice temple in Colombo and very beautiful view we can see from Gangaram temple I suggest to visit their when anyone go to srilanka,1413,0.012738853503184714,128,0.25391520998096345,0.0032345886621778785,0.0024421144399442984
Gartmore Falls,Waterfall,6,0,0,6,positive,0.827,"Very beautiful waterfalls near the Reservoir, best place to swim upper side of the waterfall and scenery walk destination DO NOT MISS THE PLACE",12,0.5,24,1.927891643552635,0.9639458217763175,0.7971831946090145
Gartmore Falls,Scenic view,6,0,0,6,positive,0.847,"Very beautiful waterfalls near the Reservoir, best place to swim upper side of the waterfall and scenery walk destination DO NOT MISS THE PLACE",12,0.5,128,0.25391520998096345,0.12695760499048173,0.10753309142693802
Goyambokka Beach,Waves,71,16,45,132,positive,0.791,An amazing beach with waves to jump.,1174,0.11243611584327087,20,2.1102132003465894,0.2372641758481685,0.1876759630959013
Goyambokka Beach,Beach,226,24,32,282,positive,0.819,The beach is large and clean.,1174,0.2402044293015332,64,0.9470623905409088,0.22748858103282477,0.18631314786588346
Goyambokka Beach,Food quality,60,8,20,88,positive,0.752,"would make up for this.The beach has limited facilities, no toilets and 2-3 bar areas which serve drinks and a limited selection of food.",1174,0.07495741056218058,16,2.3333567516607996,0.1749023800222746,0.1315265897767505
Goyambokka Beach,Restaurants,65,8,36,109,positive,0.796,"Not recommended for those unfamiliar with surf conditions.Great beach umbrellas provided by the Paradise Cabanas, and the beach cafe / restaurant provides great food and drinks.",1174,0.09284497444633731,49,1.214125175789954,0.11272542092087308,0.08972943505301498
Goyambokka Beach,Sandy beach,29,2,16,47,positive,0.755,"Since the Tsunami carved out a lot of the beach sand, waves tended to dump closed to the shore.",1174,0.04003407155025554,15,2.3978952727983707,0.0959975109212295,0.07247812074552827
Goyambokka Beach,Strong current,9,10,7,26,negative,0.79,"But due to the strong waves and warned by the locals, I couldn't.",1174,0.022146507666098807,21,2.0614230361771577,0.045653321073770105,0.03606612364827839
Goyambokka Beach,Rock formation,6,4,8,18,neutral,0.769,"tends to disappear around 4pm, so best to get out early in the day to make the most of the sunshine.A few hundred meters over some rocks is another beach area which is absolutely stunning, almost unused so great if you want some peace and quiet - there are no loungers but the calm and tranquility would make up for this.",1174,0.015332197614991482,20,2.1102132003465894,0.03235420579747752,0.024880384258260214
Goyambokka Beach,Cafes,5,1,8,14,neutral,0.763,"Not recommended for those unfamiliar with surf conditions.Great beach umbrellas provided by the Paradise Cabanas, and the beach cafe / restaurant provides great food and drinks.",1174,0.01192504258943782,15,2.3978952727983707,0.02859500325313219,0.02181798748213986
Goyambokka Beach,Family friendliness,24,5,13,42,positive,0.783,"Absolutely stunning beach but as the waves are very strong, I felt it unsuitable for children.",1174,0.03577512776831346,89,0.6173091041684409,0.022084312074169093,0.0172920163540744
Goyambokka Beach,Value for money,28,29,0,57,negative,0.848,"We didn't visit or experience this directly, but heard a few conversations referencing this so ladies please be careful with what you order, don't accept free drinks and make sure you see it being made or order something that can be opened at your table.",1174,0.048551959114139696,112,0.38744660260548613,0.018811291608613893,0.01595197528410458
Goyambokka Beach,Water clarity,8,0,0,8,positive,0.92,"Nice to swim, beautiful warm, crystal clear blue water.",1174,0.0068143100511073255,13,2.540996116439044,0.017315135376075257,0.015929924545989238
Goyambokka Beach,Accommodation,17,2,20,39,neutral,0.786,Simply the best beach I have ever visited.Stayed locally in Goyambokka so the beach was 2 mins from our guesthouse.For the two days I spent here there was no more that 20 people on the beach.,1174,0.03321976149914821,90,0.6061358035703155,0.02013568683070043,0.01582664984893054
Goyambokka Beach,Water depth,6,2,1,9,positive,0.793,"Sand not white, construction debris and junk at entrance not v appealing, waves come up high with only a small strip for sunbathing but water seems clean though shallow with a strong receding tow Did not use the beach shack so cannot comment.",1174,0.007666098807495741,13,2.540996116439044,0.019479527298084665,0.01544726514738114
Goyambokka Beach,Ticket price,10,9,20,39,neutral,0.786,The prices were expensive and we couldn't even get a decent sun bed....we were given 3 broken beds then had quite a heated debate over the ridiculous charge for a bed -it was agreed before hand then when we went to pay for our drinks the group of men running the shack tried to make us pay an extra 1000 rupees.,1174,0.03321976149914821,94,0.5626506916305767,0.018691121783298542,0.014691221721672655
Goyambokka Beach,Cleanliness,40,7,0,47,positive,0.88,The beach is large and clean.,1174,0.04003407155025554,117,0.34377153910282454,0.013762574393383948,0.012111065466177875
Goyambokka Beach,Safety,19,8,0,27,positive,0.807,"It has great and safe swimming, and there are loungers etc to relax on.",1174,0.022998296422487224,86,0.651598177647073,0.014985648037879872,0.012093417966569058
